c_id,u_id,b_id,created_at
74,25,3909,2001-08-06
75,25,8088,1979-05-27
76,26,2872,2013-04-14
77,26,6979,1996-10-05
78,26,3088,1994-08-23
79,27,496,2000-09-10
80,27,2652,1974-11-05
81,27,10321,1975-04-14
82,28,1963,1970-03-01
83,28,6469,1984-01-09
84,28,5227,2012-10-27
85,29,1385,2007-02-08
86,29,3647,2013-02-15
87,29,11490,1981-11-06
88,30,2741,2021-01-23
89,30,3260,1983-07-02
90,30,5034,1993-12-21
91,31,9955,2019-05-30
92,31,2240,1990-10-06
93,31,10770,2001-12-14
94,32,6165,2012-08-10
95,32,2988,1991-01-27
96,32,6294,1981-10-17
97,33,2428,1984-02-16
98,33,1048,2015-08-18
99,33,434,2015-04-22
100,34,11130,2011-03-13
101,34,3423,1974-11-16
102,34,3541,2014-10-26
103,35,764,2000-12-04
104,35,8001,1984-07-02
105,35,11595,1985-11-04
106,36,11766,1986-03-23
107,36,9938,1988-02-23
108,36,8375,1991-01-31
109,37,11111,2019-07-13
110,37,5665,1971-10-26
111,37,9337,1985-08-08
112,38,8418,1994-01-27
113,38,2946,2008-03-10
114,38,11193,1975-05-14
115,39,9883,1980-12-20
116,39,4272,1998-04-30
117,39,2659,1982-05-14
118,40,7386,1984-03-02
119,40,592,1971-11-06
120,40,4025,2014-03-07
121,41,9165,1992-08-12
122,41,6010,1978-08-16
123,41,859,2012-12-05
124,42,9969,1991-12-31
125,42,11464,2011-12-31
126,42,8086,1999-05-06
127,43,2113,1971-03-27
128,43,1351,1990-09-27
129,43,6596,1993-10-02
130,44,4168,2008-12-25
131,44,6733,1971-08-10
132,44,10595,2016-10-26
133,45,7068,2013-01-14
134,45,11373,2004-02-09
135,45,10650,2008-06-17
136,46,6606,1987-06-27
137,46,2113,1988-12-02
138,46,9106,2004-08-15
139,47,4988,2013-02-06
140,47,11122,2018-05-16
141,47,6306,2012-07-23
142,48,5970,1985-11-08
143,48,4561,2013-03-21
144,48,8979,2006-05-10
145,49,10215,1979-12-12
146,49,3469,2005-07-02
147,49,3906,2008-09-25
148,50,9107,1989-08-08
149,50,9435,1982-09-28
150,50,3228,1992-08-23
151,51,385,2013-10-30
152,51,6821,1981-06-11
153,51,562,1980-01-24
154,52,1479,2005-05-28
155,52,9981,2019-12-02
156,52,7485,2008-12-06
157,53,10951,1993-03-26
158,53,9573,1990-07-14
159,53,3341,2011-02-20
160,54,11560,2019-12-28
161,54,10431,1993-04-20
162,54,6694,1985-10-29
163,55,8594,1976-10-23
164,55,5325,1971-09-21
165,55,8744,1990-01-30
166,56,9227,1976-12-05
167,56,6705,2005-03-06
168,56,9703,1983-12-08
169,57,11650,1981-09-28
170,57,3869,1974-06-12
171,57,9765,1976-01-25
172,58,11289,2008-08-16
173,58,2068,1987-04-19
174,58,1690,1993-06-07
175,59,8445,1998-02-16
176,59,9116,1995-10-09
177,59,3330,1983-11-28
178,60,4833,1986-02-03
179,60,1420,1974-05-12
180,60,9768,2017-06-30
181,61,726,1983-10-16
182,61,3086,1979-01-16
183,61,2459,2008-10-04
184,62,8088,2009-07-25
185,62,11676,1998-08-26
186,62,11001,2014-07-23
187,63,9434,1972-03-30
188,63,4235,1980-09-29
189,63,10359,2000-12-02
190,64,7652,1982-10-01
191,64,1527,1998-07-17
192,64,360,1982-11-13
193,65,8684,2010-05-26
194,65,7971,1974-09-17
195,65,890,1974-09-30
196,66,3228,2000-10-16
197,66,6625,1976-08-17
198,66,8710,2001-12-11
199,67,6032,1999-01-15
200,67,5748,1991-11-23
201,67,9594,1993-11-11
202,68,2537,1979-01-09
203,68,11536,1996-02-14
204,68,2019,1988-07-14
205,69,7518,1989-04-01
206,69,9593,1991-08-04
207,69,9042,1999-01-14
208,70,8258,2008-02-07
209,70,9458,2001-02-01
210,70,11170,2000-10-04
211,71,5210,2010-08-12
212,71,10906,1979-11-08
213,71,3060,2020-10-05
214,72,8377,2007-04-08
215,72,9632,2001-07-17
216,72,1607,2000-03-02
217,73,10089,2018-03-09
218,73,10872,1981-06-14
219,73,8011,1984-10-04
220,74,6489,2004-01-30
221,74,3535,1986-03-08
222,74,8791,2012-03-19
223,75,3947,1983-08-12
224,75,11928,1980-03-04
225,75,4997,1984-02-04
226,76,2777,1982-04-04
227,76,8719,1998-08-25
228,76,1348,1993-01-28
229,77,170,2002-10-07
230,77,10423,2007-03-13
231,77,8210,1985-04-29
232,78,6642,1979-10-21
233,78,9003,1979-11-09
234,78,5798,2013-12-15
235,79,2323,1994-10-16
236,79,5382,1989-02-18
237,79,1777,1974-11-16
238,80,9620,1979-06-29
239,80,11062,1996-11-02
240,80,2103,2002-01-16
241,81,2967,2009-06-10
242,81,9353,1985-04-19
243,81,1029,2003-12-14
244,82,5346,1989-05-30
245,82,5892,1982-02-02
246,82,4378,1987-02-27
247,83,1651,2010-03-13
248,83,1097,1993-07-21
249,83,2125,2019-05-22
250,84,4878,1988-05-02
251,84,4752,1996-09-09
252,84,2095,1979-06-23
253,85,2260,2021-01-06
254,85,10630,2019-05-20
255,85,3920,2007-04-16
256,86,5519,1988-10-25
257,86,10666,2010-01-15
258,86,4273,1977-06-13
259,87,8896,1991-01-10
260,87,608,1995-08-26
261,87,7371,1988-02-16
262,88,3037,1985-07-25
263,88,7491,2009-03-11
264,88,7855,1983-05-16
265,89,8097,2006-07-01
266,89,1476,2017-03-24
267,89,5221,2007-09-17
268,90,9299,1983-09-19
269,90,4405,2003-10-11
270,90,7453,2012-09-03
271,91,10469,1999-11-02
272,91,10934,1975-07-02
273,91,11179,1975-07-17
274,92,4844,1973-11-03
275,92,4320,1970-10-27
276,92,7228,1971-06-06
277,93,11559,1982-11-27
278,93,4505,1985-02-15
279,93,6789,1972-06-21
280,94,9269,1971-03-22
281,94,206,1975-12-30
282,94,5956,1999-10-16
283,95,3632,1990-01-29
284,95,11466,2010-06-04
285,95,7687,2016-08-23
286,96,845,1976-06-10
287,96,4547,2019-03-03
288,96,2942,1989-11-07
289,97,2265,1979-01-02
290,97,8456,1985-11-09
291,97,2261,2016-06-23
292,98,11988,2010-04-08
293,98,7792,1998-10-03
294,98,275,1992-02-08
295,99,4638,2011-02-19
296,99,10313,2016-09-03
297,99,22,1995-07-21
298,100,7346,1974-07-21
299,100,360,1999-09-05
300,100,2888,1990-04-07
301,101,9146,1992-06-19
302,101,96,2019-02-25
303,101,5623,2014-03-30
304,102,8419,2015-04-08
305,102,11023,2013-09-19
306,102,7009,2011-09-28
307,103,5275,1979-12-03
308,103,2564,2018-02-16
309,103,1504,2005-12-23
310,104,7658,2005-02-01
311,104,6009,2013-01-07
312,104,11809,1974-01-15
313,105,8152,1993-04-14
314,105,6358,1974-05-12
315,105,2084,1976-02-21
316,106,3276,1990-06-09
317,106,3669,2007-04-02
318,106,9344,1991-08-26
319,107,5786,1976-12-28
320,107,2471,2007-08-05
321,107,8414,2007-08-15
322,108,1670,2018-01-08
323,108,6765,1999-05-25
324,108,7245,1983-03-02
325,109,5511,1978-07-30
326,109,7910,1971-08-01
327,109,4470,2003-10-16
328,110,4449,2019-08-10
329,110,3963,1998-03-28
330,110,2736,1992-12-09
331,111,10604,1995-04-13
332,111,11973,2011-03-26
333,111,2223,1980-01-24
334,112,5331,1994-09-16
335,112,753,1974-07-01
336,112,3663,1996-10-16
337,113,2874,2006-01-04
338,113,1290,1978-08-16
339,113,8040,1985-08-10
340,114,3754,1988-10-14
341,114,3253,1974-07-26
342,114,11427,1992-01-10
343,115,1076,1998-10-16
344,115,8089,2011-05-09
345,115,8486,1981-09-29
346,116,7410,2019-10-13
347,116,1693,1990-01-06
348,116,6172,2004-01-26
349,117,10636,1984-03-26
350,117,11620,2008-03-04
351,117,4954,1999-05-03
352,118,3062,1974-07-03
353,118,4566,2005-04-28
354,118,9547,1976-05-26
355,119,10074,2005-04-20
356,119,4561,1997-03-28
357,119,9791,1980-10-29
358,120,9628,2018-05-04
359,120,5526,2017-06-06
360,120,4785,2011-02-28
361,121,8474,1983-06-23
362,121,2799,1986-02-28
363,121,3966,1984-12-10
364,122,10096,1973-08-19
365,122,10498,2004-05-31
366,122,7642,2019-08-14
367,123,2659,1988-07-10
368,123,11926,1995-10-24
369,123,9393,2020-07-06
370,124,4961,2015-10-16
371,124,4669,1992-12-26
372,124,1362,1973-11-23
373,125,9833,1975-11-19
374,125,4003,2007-07-20
375,125,8834,1980-08-30
376,126,1197,2020-08-29
377,126,10248,1985-12-01
378,126,9091,1979-11-15
379,127,9603,1990-09-23
380,127,6934,2019-12-16
381,127,10118,1996-02-14
382,128,851,2000-01-11
383,128,10877,1982-08-06
384,128,427,1999-02-15
385,129,1750,2001-08-25
386,129,583,1992-08-21
387,129,3155,2002-01-30
388,130,7884,1993-04-07
389,130,9473,1987-11-26
390,130,9627,1974-01-17
391,131,4520,2005-08-21
392,131,561,1990-10-08
393,131,4825,1986-08-22
394,132,1613,1991-06-27
395,132,4686,1992-02-06
396,132,3777,2017-08-16
397,133,6373,1990-05-03
398,133,6168,1996-08-22
399,133,5343,2006-06-12
400,134,2234,1997-06-25
401,134,6880,2000-02-07
402,134,9077,1985-07-27
403,135,216,2017-04-22
404,135,8867,2015-12-22
405,135,7596,2003-06-04
406,136,6366,1990-09-04
407,136,11924,2014-12-28
408,136,950,1987-09-29
409,137,8510,2004-10-01
410,137,3607,1980-02-02
411,137,7935,1991-09-18
412,138,1038,2016-03-10
413,138,11153,1997-04-29
414,138,4592,2017-08-03
415,139,9598,2014-04-16
416,139,4654,2011-03-26
417,139,8095,1995-10-07
418,140,6243,1971-08-08
419,140,8611,1989-04-06
420,140,1746,2017-03-15
421,141,442,1976-09-29
422,141,1681,2007-07-06
423,141,8851,2014-05-29
424,142,11845,1998-01-08
425,142,603,1981-10-24
426,142,5697,1977-05-01
427,143,2800,1979-04-23
428,143,9536,2014-08-10
429,143,521,1977-03-29
430,144,11586,1992-01-15
431,144,7744,2007-01-13
432,144,1526,2000-02-20
433,145,331,1972-12-09
434,145,4588,2003-07-07
435,145,8216,1991-10-08
436,146,8493,1984-06-05
437,146,1319,1975-10-19
438,146,11091,2004-03-10
439,147,4506,1973-10-05
440,147,9904,1984-02-29
441,147,6707,1976-02-15
442,148,10969,2002-04-23
443,148,271,1988-06-13
444,148,11184,1991-03-26
445,149,4608,1990-02-02
446,149,3573,1986-09-16
447,149,1214,1983-01-18
448,150,4121,2016-02-18
449,150,5744,2002-06-10
450,150,11546,2003-05-02
451,151,10821,1981-10-25
452,151,10309,1975-04-27
453,151,5720,2016-06-15
454,152,11811,1992-01-22
455,152,6474,1995-12-20
456,152,1703,1987-03-15
457,153,1349,1999-07-06
458,153,482,1984-10-23
459,153,5357,2013-08-01
460,154,5227,2008-03-12
461,154,5879,2014-11-03
462,154,3004,1976-05-14
463,155,6258,1990-09-05
464,155,2665,1987-10-10
465,155,3431,1977-07-12
466,156,9397,1987-07-10
467,156,6657,1981-08-12
468,156,465,2010-06-22
469,157,7156,2017-02-25
470,157,1740,1989-02-27
471,157,9293,1985-05-28
472,158,11566,2003-11-18
473,158,11630,2000-07-08
474,158,9032,1974-02-14
475,159,7691,1973-05-18
476,159,9483,2003-02-20
477,159,6114,1987-06-02
478,160,5837,1970-07-04
479,160,2858,2017-04-06
480,160,1728,2016-08-28
481,161,1058,2011-06-06
482,161,11652,2001-10-21
483,161,8611,1983-04-10
484,162,10631,1974-09-08
485,162,4029,1983-03-21
486,162,10183,1972-01-08
487,163,8142,1995-11-24
488,163,801,1993-02-11
489,163,6220,1990-12-09
490,164,5686,2010-07-20
491,164,9798,1974-09-15
492,164,6223,1977-04-25
493,165,5708,1991-12-15
494,165,7462,1990-06-09
495,165,11557,2019-02-25
496,166,1096,2001-04-01
497,166,10528,1999-01-26
498,166,4549,2012-12-03
499,167,2805,1988-08-22
500,167,3458,1978-01-04
501,167,439,1977-06-19
502,168,2673,1987-09-02
503,168,8105,2013-07-18
504,168,4363,2016-09-22
505,169,1419,1996-06-29
506,169,2467,2007-11-06
507,169,269,2017-10-03
508,170,7280,2019-09-18
509,170,1516,1976-04-29
510,170,759,1993-02-05
511,171,10648,1975-12-15
512,171,4947,2019-05-12
513,171,10254,2007-10-20
514,172,6594,2005-05-23
515,172,3012,2015-06-11
516,172,5221,1998-09-04
517,173,2066,2012-12-05
518,173,3936,1998-06-29
519,173,8685,1980-08-09
520,174,11200,1989-04-11
521,174,5216,1986-05-24
522,174,8366,2004-01-26
523,175,2797,2012-02-07
524,175,4222,2004-07-15
525,175,7661,2019-12-18
526,176,4069,1972-07-02
527,176,9122,1996-03-12
528,176,7973,2019-03-01
529,177,5029,1982-04-15
530,177,9059,1986-09-16
531,177,3615,2005-08-14
532,178,3470,2010-09-03
533,178,5354,1999-03-10
534,178,7410,1992-07-21
535,179,11216,1990-05-30
536,179,5940,1980-01-11
537,179,7561,1981-10-25
538,180,2356,2012-07-16
539,180,4391,2000-09-15
540,180,3205,1990-04-07
541,181,439,2006-03-30
542,181,8430,1996-12-25
543,181,5680,2008-07-16
544,182,9915,1992-03-28
545,182,4715,1993-05-23
546,182,3992,1986-10-03
547,183,10688,2012-06-11
548,183,7379,2019-04-19
549,183,9339,1995-02-24
550,184,3216,1990-11-28
551,184,11729,1970-10-03
552,184,11328,1982-04-04
553,185,1570,1987-04-12
554,185,5511,1992-05-21
555,185,6898,1978-10-12
556,186,7350,2014-04-08
557,186,398,1973-10-13
558,186,5030,1980-06-23
559,187,6660,1987-09-01
560,187,3497,1978-12-14
561,187,4047,1979-04-23
562,188,686,2007-01-27
563,188,10883,2003-05-10
564,188,7811,1993-05-25
565,189,5228,1983-03-26
566,189,8941,2013-01-22
567,189,11699,1992-05-28
568,190,4475,1972-10-06
569,190,682,1973-12-19
570,190,4709,1993-09-13
571,191,767,2008-01-24
572,191,9530,1999-07-09
573,191,6037,2015-05-07
574,192,8152,1982-08-25
575,192,9773,2002-12-01
576,192,3877,2015-07-16
577,193,2285,2002-07-15
578,193,8954,1995-06-11
579,193,2572,1980-10-29
580,194,9499,1978-08-06
581,194,7432,2007-01-31
582,194,2786,1981-04-27
583,195,3636,1988-10-21
584,195,5509,2003-05-14
585,195,10392,1983-02-23
586,196,282,2020-11-08
587,196,211,1982-02-28
588,196,1996,1989-07-22
589,197,3738,1970-06-11
590,197,6590,1987-05-15
591,197,8316,1992-09-19
592,198,5150,2011-07-05
593,198,4358,1997-10-22
594,198,10078,1975-12-05
595,199,3273,1997-10-18
596,199,10800,1992-11-10
597,199,1008,1971-04-20
598,200,7219,2013-11-03
599,200,3499,2001-09-07
600,200,2643,1992-12-15
601,201,2246,1984-07-21
602,201,4231,1974-11-12
603,201,618,2000-09-17
604,202,1507,2004-10-11
605,202,3459,2016-04-22
606,202,7662,1982-12-28
607,203,1402,1989-03-28
608,203,8683,2004-11-13
609,203,6796,2001-01-02
610,204,2773,2017-12-24
611,204,1593,2002-04-11
612,204,6150,1970-03-13
613,205,10193,1976-02-26
614,205,10777,2017-06-01
615,205,2227,1976-07-12
616,206,6414,1990-02-21
617,206,9397,1985-03-26
618,206,221,2008-10-12
619,207,4614,1975-09-17
620,207,4282,2002-08-04
621,207,3152,1986-07-29
622,208,5260,2004-07-24
623,208,1440,2008-11-28
624,208,8373,1995-08-02
625,209,6615,1972-01-20
626,209,11542,1979-03-10
627,209,7060,1990-02-09
628,210,5217,2020-05-27
629,210,3678,2003-04-26
630,210,7573,2015-07-09
631,211,7253,2020-10-26
632,211,3906,1993-07-31
633,211,1686,2019-01-30
634,212,5552,1996-12-20
635,212,2614,2009-07-29
636,212,2638,2001-10-25
637,213,201,2000-02-16
638,213,11762,1991-03-17
639,213,7488,1984-04-17
640,214,10565,1999-12-01
641,214,9834,1993-02-18
642,214,5066,1989-11-14
643,215,1339,2008-02-03
644,215,6802,2010-08-29
645,215,132,1991-10-31
646,216,6395,1996-06-04
647,216,7395,1997-03-14
648,216,4154,1982-08-26
649,217,9558,2020-02-01
650,217,11142,1975-07-05
651,217,1927,1990-07-27
652,218,6749,1978-02-10
653,218,5072,2016-11-29
654,218,731,1999-07-06
655,219,2883,1988-05-27
656,219,2169,1992-06-11
657,219,7174,1993-08-27
658,220,9573,1978-07-08
659,220,9432,1987-03-14
660,220,2501,1994-07-06
661,221,923,1998-01-23
662,221,8129,1983-05-01
663,221,7605,1994-10-24
664,222,4544,2002-01-05
665,222,6505,2003-02-28
666,222,6732,1977-02-02
667,223,9222,1991-11-30
668,223,5381,1981-02-25
669,223,8490,2017-03-01
670,224,7444,1990-03-25
671,224,4040,1974-01-05
672,224,8788,1976-06-07
673,225,1451,2018-06-10
674,225,6268,1975-08-25
675,225,10539,2005-05-07
676,226,7619,2008-09-08
677,226,5705,1979-11-01
678,226,4595,1984-05-19
679,227,2527,2010-05-09
680,227,3817,2003-03-26
681,227,474,1983-07-25
682,228,2793,2021-02-09
683,228,7423,2009-09-21
684,228,4665,2017-02-07
685,229,3358,1991-10-01
686,229,11720,1974-05-19
687,229,10625,1989-03-21
688,230,3363,1977-11-08
689,230,6572,1981-11-17
690,230,5987,2014-11-09
691,231,9819,1991-01-23
692,231,4033,2010-03-29
693,231,6993,1985-01-31
694,232,9430,2008-06-22
695,232,3993,2000-04-11
696,232,3381,1972-07-26
697,233,6987,1973-06-05
698,233,5409,1992-08-02
699,233,9137,1994-10-17
700,234,6931,2002-03-13
701,234,1511,1980-03-12
702,234,6506,1970-06-08
703,235,11829,2017-08-18
704,235,1735,2000-03-27
705,235,3861,1995-08-16
706,236,4039,1993-06-10
707,236,4866,1990-02-04
708,236,728,1998-09-06
709,237,4918,2004-07-04
710,237,7353,1992-05-12
711,237,4487,1983-09-29
712,238,1948,2012-05-15
713,238,10989,1977-01-24
714,238,2927,2015-05-08
715,239,9039,2021-01-29
716,239,7340,1983-06-23
717,239,5130,1972-07-29
718,240,11704,2005-10-06
719,240,4355,1985-12-09
720,240,7193,1971-06-08
721,241,10520,1973-12-17
722,241,9836,1982-02-22
723,241,1123,1976-09-14
724,242,11317,1999-07-11
725,242,1478,1984-03-02
726,242,3333,1998-07-22
727,243,6597,2014-04-10
728,243,10326,1984-06-22
729,243,3913,1983-09-23
730,244,3312,1990-04-03
731,244,7716,1975-05-01
732,244,2590,1983-05-17
733,245,1814,1992-11-17
734,245,5502,2017-07-13
735,245,11530,1993-05-08
736,246,2891,1974-03-24
737,246,1624,1976-01-04
738,246,2076,1971-06-05
739,247,9485,1974-10-05
740,247,10329,1970-09-06
741,247,786,2009-12-12
742,248,2207,2009-12-19
743,248,10601,1987-07-01
744,248,11032,1972-08-13
745,249,8325,1973-06-21
746,249,612,1988-04-24
747,249,3095,1999-06-09
748,250,4898,1970-11-06
749,250,1499,2015-10-20
750,250,7215,1976-03-11
751,251,6207,1976-02-15
752,251,4993,2001-03-03
753,251,6235,1976-04-21
754,252,5910,2021-03-14
755,252,8019,1982-01-05
756,252,1077,2008-11-08
757,253,7350,1997-12-09
758,253,1229,1972-05-30
759,253,2655,2000-06-05
760,254,2019,2020-01-23
761,254,2045,1999-12-05
762,254,8095,1993-12-21
763,255,4876,2008-02-14
764,255,11868,1975-12-05
765,255,1474,1982-02-07
766,256,3959,1973-03-26
767,256,9140,1976-09-11
768,256,8552,1987-06-04
769,257,639,2020-06-29
770,257,7896,2020-08-18
771,257,8750,1981-01-23
772,258,11077,2004-01-15
773,258,8119,1985-03-04
774,258,4756,1983-08-09
775,259,4926,2009-02-13
776,259,8912,1970-01-20
777,259,6049,2013-12-14
778,260,3030,1973-03-30
779,260,3495,1974-11-21
780,260,5979,1984-08-15
781,261,11067,1975-03-17
782,261,10193,1999-06-17
783,261,210,2007-03-10
784,262,1999,2009-10-26
785,262,634,1970-08-18
786,262,8127,1987-05-14
787,263,3696,1979-09-20
788,263,8997,1975-04-30
789,263,10789,1987-08-11
790,264,5126,2012-02-24
791,264,4687,2014-11-20
792,264,8735,1990-11-16
793,265,10052,1979-02-04
794,265,8010,2007-08-19
795,265,2842,2006-02-06
796,266,9358,2008-10-23
797,266,10287,1973-08-17
798,266,6193,2020-04-18
799,267,2557,2014-02-25
800,267,3523,1972-10-08
801,267,2029,2004-05-26
802,268,7227,2009-04-04
803,268,10259,2011-10-27
804,268,4879,1985-11-28
805,269,7000,1972-04-07
806,269,7043,1978-03-22
807,269,2443,2017-12-17
808,270,2591,2000-04-09
809,270,9670,1986-07-17
810,270,6148,1979-05-23
811,271,11628,1971-08-22
812,271,8894,2016-07-15
813,271,7660,2008-10-29
814,272,6193,2004-09-03
815,272,2194,2012-05-15
816,272,303,1971-12-22
817,273,479,2000-12-21
818,273,10465,1986-04-16
819,273,7002,2012-06-23
820,274,8993,1980-08-18
821,274,936,1999-10-31
822,274,10840,2013-07-30
823,275,4874,2003-09-05
824,275,2822,1976-07-06
825,275,1336,1990-08-09
826,276,3384,2017-01-23
827,276,6521,2021-01-20
828,276,5301,1993-12-30
829,277,9083,1979-09-25
830,277,8766,1973-04-10
831,277,9580,2014-12-05
832,278,4864,1972-08-28
833,278,5154,2006-07-22
834,278,9297,2007-06-13
835,279,4685,1979-07-28
836,279,8267,1988-11-21
837,279,11100,1999-07-07
838,280,4272,1977-10-18
839,280,3407,1994-04-21
840,280,11257,2012-07-08
841,281,1084,2000-01-29
842,281,7314,1979-11-15
843,281,5692,2016-04-01
844,282,9605,1987-02-22
845,282,10129,1985-04-03
846,282,7372,1991-12-17
847,283,1352,2016-12-19
848,283,2211,1985-08-23
849,283,780,2015-09-22
850,284,4591,2014-04-30
851,284,10593,1980-04-22
852,284,4355,1989-06-26
853,285,3586,2015-12-03
854,285,7242,2006-01-08
855,285,4547,1984-04-24
856,286,9395,1978-01-29
857,286,1209,2012-12-31
858,286,11776,1984-12-14
859,287,2265,1978-02-02
860,287,9136,1995-09-04
861,287,10241,1981-08-17
862,288,3808,1984-02-18
863,288,10512,1990-06-05
864,288,5390,1976-05-15
865,289,1846,1988-10-23
866,289,3868,2010-10-17
867,289,3390,1985-06-29
868,290,8427,2008-01-31
869,290,10319,1980-09-20
870,290,5765,2003-08-14
871,291,7000,1972-11-30
872,291,2021,2007-01-21
873,291,8607,2002-11-01
874,292,10354,1994-04-05
875,292,21,2000-08-08
876,292,2336,1980-01-17
877,293,5825,1987-08-18
878,293,3661,1972-03-14
879,293,3241,2006-04-23
880,294,2929,2011-07-26
881,294,1029,1988-01-23
882,294,9229,1997-11-05
883,295,1391,2000-09-06
884,295,1710,2015-05-08
885,295,11049,2004-11-04
886,296,8003,1989-03-11
887,296,1262,2001-12-09
888,296,2444,2015-04-26
889,297,10467,1975-06-13
890,297,3210,1978-12-13
891,297,11107,2006-11-16
892,298,7497,1994-11-11
893,298,6510,1980-03-29
894,298,3489,1977-08-13
895,299,5718,1986-09-04
896,299,6702,1980-05-04
897,299,3885,1978-09-02
898,300,104,1977-02-10
899,300,11649,1993-12-23
900,300,9992,1975-12-24
901,301,1291,2019-10-09
902,301,11899,1972-03-14
903,301,8356,1983-03-02
904,302,660,2008-01-11
905,302,4992,1994-07-06
906,302,10917,1987-02-17
907,303,9264,2015-07-09
908,303,6262,1995-12-19
909,303,7276,1999-10-19
910,304,1257,1980-05-24
911,304,6115,2000-03-29
912,304,785,1979-08-08
913,305,11604,1987-09-21
914,305,628,2001-12-07
915,305,5455,2019-03-22
916,306,8611,1985-06-25
917,306,2578,2005-06-15
918,306,1972,2001-03-16
919,307,2320,1981-07-18
920,307,6256,1981-09-29
921,307,8278,2011-05-13
922,308,10288,1988-01-02
923,308,2478,1996-05-17
924,308,8463,1992-09-19
925,309,7687,2003-05-09
926,309,1260,1993-02-20
927,309,7952,1989-05-18
928,310,686,1984-07-23
929,310,115,1997-12-09
930,310,333,1977-01-13
931,311,5493,1986-10-27
932,311,3728,2015-08-18
933,311,3216,1973-11-28
934,312,6436,2018-11-09
935,312,7407,2009-06-07
936,312,5176,1997-05-14
937,313,1775,1974-12-03
938,313,8300,2001-05-24
939,313,10441,1981-06-05
940,314,2465,2011-05-04
941,314,3585,2018-12-03
942,314,8404,2010-09-04
943,315,1278,1997-02-17
944,315,9157,2009-05-07
945,315,3740,1995-03-11
946,316,7940,1997-06-09
947,316,4759,1977-06-24
948,316,2408,1994-06-12
949,317,8185,1999-11-07
950,317,3630,1990-01-30
951,317,234,1979-09-19
952,318,3197,2005-09-15
953,318,7367,1982-04-20
954,318,2801,1993-03-02
955,319,3406,1995-08-20
956,319,206,2008-06-17
957,319,1364,1978-04-12
958,320,6468,2016-03-21
959,320,83,1987-06-05
960,320,6414,1993-12-10
961,321,10575,2010-05-03
962,321,1852,1974-10-15
963,321,8739,2018-02-05
964,322,11218,1982-04-24
965,322,10471,2017-09-11
966,322,3671,1978-08-14
967,323,5446,1991-04-05
968,323,10419,1993-04-08
969,323,480,2008-08-31
970,324,2820,1995-01-30
971,324,4471,1982-04-02
972,324,11218,1976-01-01
973,325,1465,1975-04-10
974,325,6487,1983-11-17
975,325,11533,2009-11-16
976,326,5692,1988-10-10
977,326,3466,1975-06-18
978,326,1511,2013-01-03
979,327,2255,1995-09-05
980,327,5069,1998-11-11
981,327,3451,2002-01-07
982,328,3808,2007-10-11
983,328,8218,2004-05-27
984,328,142,1990-12-27
985,329,11920,2001-05-27
986,329,3243,1982-08-05
987,329,8025,2007-12-25
988,330,11103,1998-01-31
989,330,4990,2006-10-15
990,330,9696,1972-08-20
991,331,7211,1991-01-18
992,331,5766,1993-07-23
993,331,2405,2004-10-31
994,332,11405,2001-09-16
995,332,6407,2020-09-29
996,332,1181,1997-06-06
997,333,7904,1979-10-22
998,333,10664,1997-12-23
999,333,7873,1998-11-25
1000,334,6584,2003-12-08
1001,334,477,1988-06-16
1002,334,2957,2016-03-02
1003,335,10209,1996-05-11
