id,a_id,b_id,created_at,upated_at
49,2142,26,2008-10-31,2008-10-31
50,461,26,1970-05-19,1970-05-19
51,1828,27,1986-04-07,1986-04-07
52,678,27,2002-02-04,2002-02-04
53,4662,28,2010-11-28,2010-11-28
54,2792,29,1993-11-14,1993-11-14
55,1808,29,2018-09-04,2018-09-04
56,4636,30,1985-04-18,1985-04-18
57,4967,30,2015-02-28,2015-02-28
58,667,31,2001-09-19,2001-09-19
59,621,31,1984-01-31,1984-01-31
60,4581,32,1988-09-17,1988-09-17
61,4006,33,1978-09-09,1978-09-09
62,767,33,2016-07-21,2016-07-21
63,4022,33,1979-08-03,1979-08-03
64,453,34,2014-12-04,2014-12-04
65,696,35,2013-11-24,2013-11-24
66,1137,36,2011-03-16,2011-03-16
67,4095,37,2020-06-22,2020-06-22
68,1648,38,1994-01-10,1994-01-10
69,99,38,1980-06-11,1980-06-11
70,2583,38,2003-02-10,2003-02-10
71,832,39,1971-10-16,1971-10-16
72,3669,39,2019-06-30,2019-06-30
73,2311,40,1998-09-03,1998-09-03
74,359,40,1975-10-15,1975-10-15
75,171,40,1987-04-06,1987-04-06
76,633,41,1998-04-15,1998-04-15
77,4912,42,2013-05-26,2013-05-26
78,304,43,1982-06-28,1982-06-28
79,2011,43,2004-03-04,2004-03-04
80,1473,44,2001-06-24,2001-06-24
81,4943,45,2012-05-21,2012-05-21
82,349,46,2012-04-20,2012-04-20
83,1670,46,2006-05-26,2006-05-26
84,862,47,2019-01-31,2019-01-31
85,2534,48,1990-05-12,1990-05-12
86,4487,48,2021-03-17,2021-03-17
87,4389,48,2003-08-24,2003-08-24
88,3120,49,1997-08-25,1997-08-25
89,1497,49,2014-11-09,2014-11-09
90,4414,50,1972-09-11,1972-09-11
91,2902,50,1970-11-24,1970-11-24
92,2831,51,2017-09-22,2017-09-22
93,3826,52,1973-04-23,1973-04-23
94,4248,53,1987-01-07,1987-01-07
95,33,53,2007-08-15,2007-08-15
96,4247,53,2005-02-12,2005-02-12
97,230,54,2008-12-19,2008-12-19
98,4215,54,1998-11-01,1998-11-01
99,2146,55,2020-08-03,2020-08-03
100,721,56,1975-12-28,1975-12-28
101,1830,56,2003-01-09,2003-01-09
102,2423,57,2011-09-06,2011-09-06
103,485,57,1986-06-08,1986-06-08
104,2621,58,1976-06-12,1976-06-12
105,2610,59,2011-06-19,2011-06-19
106,4002,60,1975-10-21,1975-10-21
107,1488,60,2020-01-25,2020-01-25
108,2947,60,1981-01-16,1981-01-16
109,227,61,1997-03-12,1997-03-12
110,1054,62,2018-11-08,2018-11-08
111,15,62,1989-10-16,1989-10-16
112,1905,63,1998-09-06,1998-09-06
113,2306,64,1987-02-24,1987-02-24
114,980,64,1995-12-20,1995-12-20
115,4833,64,1991-08-20,1991-08-20
116,3168,65,1998-08-23,1998-08-23
117,3568,65,1998-01-18,1998-01-18
118,1453,66,1986-12-07,1986-12-07
119,2802,67,1973-12-10,1973-12-10
120,2213,67,2001-10-04,2001-10-04
121,3110,67,1983-12-01,1983-12-01
122,3813,68,1978-04-05,1978-04-05
123,183,69,2017-07-27,2017-07-27
124,335,69,1986-06-04,1986-06-04
125,4793,70,2008-12-29,2008-12-29
126,1948,71,2010-06-05,2010-06-05
127,2386,72,1987-07-11,1987-07-11
128,1468,72,1999-03-13,1999-03-13
129,1570,72,1973-03-14,1973-03-14
130,662,73,1974-09-19,1974-09-19
131,799,73,1988-10-26,1988-10-26
132,806,74,1983-03-26,1983-03-26
133,4839,75,1979-01-16,1979-01-16
134,4410,75,2009-08-16,2009-08-16
135,562,76,1995-09-19,1995-09-19
136,3007,76,2011-06-30,2011-06-30
137,4183,76,1985-04-22,1985-04-22
138,3284,77,2000-09-04,2000-09-04
139,2722,77,2012-10-02,2012-10-02
140,1468,77,2005-08-15,2005-08-15
141,2165,78,1975-02-24,1975-02-24
142,2461,78,2011-07-23,2011-07-23
143,2751,78,2018-12-11,2018-12-11
144,1603,79,1996-11-29,1996-11-29
145,4358,79,1978-08-02,1978-08-02
146,4221,80,1980-06-02,1980-06-02
147,4160,80,1990-07-21,1990-07-21
148,3304,81,2004-11-21,2004-11-21
149,2051,81,1996-10-08,1996-10-08
150,3126,82,2012-08-31,2012-08-31
151,2267,82,2014-10-25,2014-10-25
152,22,82,1971-11-09,1971-11-09
153,4363,83,1972-06-29,1972-06-29
154,248,83,2018-06-16,2018-06-16
155,4938,83,1979-09-07,1979-09-07
156,1478,84,1997-04-24,1997-04-24
157,4129,84,1972-08-05,1972-08-05
158,2154,84,1977-03-11,1977-03-11
159,2691,85,2002-05-23,2002-05-23
160,3551,85,2001-07-13,2001-07-13
161,4329,85,1984-12-21,1984-12-21
162,4873,86,1983-02-03,1983-02-03
163,2915,86,1979-02-15,1979-02-15
164,714,86,1990-07-15,1990-07-15
165,2823,87,2002-07-20,2002-07-20
166,2908,88,2011-09-21,2011-09-21
167,804,88,2019-02-14,2019-02-14
168,3496,89,1997-03-05,1997-03-05
169,1665,89,1989-12-28,1989-12-28
170,3413,90,1988-12-19,1988-12-19
171,3359,91,1981-09-27,1981-09-27
172,4890,91,1980-07-13,1980-07-13
173,3370,92,2011-09-03,2011-09-03
174,4049,92,1975-05-25,1975-05-25
175,164,92,1996-01-09,1996-01-09
176,4069,93,1983-08-03,1983-08-03
177,1396,93,1984-08-04,1984-08-04
178,2900,94,1987-10-26,1987-10-26
179,1063,95,1985-07-06,1985-07-06
180,854,96,1992-12-12,1992-12-12
181,2997,97,1985-12-20,1985-12-20
182,213,97,1999-04-09,1999-04-09
183,446,98,2002-01-19,2002-01-19
184,2160,99,1973-06-26,1973-06-26
185,4375,99,2009-07-17,2009-07-17
186,849,99,1991-05-25,1991-05-25
187,3943,100,1974-04-22,1974-04-22
188,4409,100,2004-12-15,2004-12-15
189,4702,101,1991-09-05,1991-09-05
190,3537,101,1973-10-28,1973-10-28
191,2781,101,2018-08-02,2018-08-02
192,2219,102,2002-05-08,2002-05-08
193,4653,103,1987-03-08,1987-03-08
194,933,104,2010-08-03,2010-08-03
195,4358,104,1997-04-28,1997-04-28
196,1134,104,2005-08-08,2005-08-08
197,1795,105,1985-10-07,1985-10-07
198,2998,105,2018-10-11,2018-10-11
199,63,106,1972-02-11,1972-02-11
200,3920,106,1993-10-01,1993-10-01
201,2008,106,2001-07-02,2001-07-02
202,2780,107,2000-03-17,2000-03-17
203,1213,108,2013-01-07,2013-01-07
204,218,108,2006-05-21,2006-05-21
205,628,109,2017-12-10,2017-12-10
206,2821,110,1992-09-18,1992-09-18
207,151,111,1985-03-25,1985-03-25
208,4752,112,1977-09-18,1977-09-18
209,4702,112,1985-09-22,1985-09-22
210,1491,112,2004-08-27,2004-08-27
211,3356,113,1996-03-26,1996-03-26
212,3392,113,1997-08-24,1997-08-24
213,4121,113,2016-12-31,2016-12-31
214,4873,114,2009-06-22,2009-06-22
215,3615,114,1990-11-02,1990-11-02
216,3415,114,2019-05-11,2019-05-11
217,462,115,1992-05-19,1992-05-19
218,3583,116,1996-06-22,1996-06-22
219,758,117,2011-10-06,2011-10-06
220,1626,118,1982-07-02,1982-07-02
221,3274,119,2017-03-12,2017-03-12
222,688,119,2010-12-24,2010-12-24
223,1371,119,1973-11-30,1973-11-30
224,271,120,1980-10-04,1980-10-04
225,4807,120,1982-10-25,1982-10-25
226,1315,121,1997-07-25,1997-07-25
227,3748,121,1987-12-28,1987-12-28
228,1747,121,1972-08-21,1972-08-21
229,263,122,2013-10-17,2013-10-17
230,1826,122,2016-11-16,2016-11-16
231,1486,123,1989-04-24,1989-04-24
232,3344,123,1984-05-16,1984-05-16
233,3331,124,2011-07-09,2011-07-09
234,1709,124,1970-05-16,1970-05-16
235,2692,124,1995-05-02,1995-05-02
236,900,125,1990-02-15,1990-02-15
237,3698,125,2001-11-08,2001-11-08
238,2737,126,1989-12-22,1989-12-22
239,3121,126,2004-02-08,2004-02-08
240,2800,127,1995-07-17,1995-07-17
241,1435,127,1982-07-04,1982-07-04
242,3003,128,1991-03-02,1991-03-02
243,2283,129,1975-09-28,1975-09-28
244,2797,130,2001-09-13,2001-09-13
245,2914,130,1971-09-26,1971-09-26
246,2808,131,1998-10-04,1998-10-04
247,1308,131,1988-10-31,1988-10-31
248,88,132,2013-02-26,2013-02-26
249,1809,133,2000-03-16,2000-03-16
250,2397,133,2017-03-30,2017-03-30
251,3306,134,1986-12-19,1986-12-19
252,1747,134,2007-10-22,2007-10-22
253,1858,135,2012-09-20,2012-09-20
254,486,135,1976-12-28,1976-12-28
255,4820,136,1976-02-24,1976-02-24
256,3350,137,1994-04-23,1994-04-23
257,3769,137,1975-10-14,1975-10-14
258,834,138,1987-07-23,1987-07-23
259,4709,138,1995-09-28,1995-09-28
260,4883,138,2017-12-16,2017-12-16
261,2045,139,1974-04-03,1974-04-03
262,3529,140,2018-09-22,2018-09-22
263,4609,140,2014-10-26,2014-10-26
264,2166,141,2019-04-09,2019-04-09
265,1057,141,1976-11-28,1976-11-28
266,3236,142,1994-08-07,1994-08-07
267,3959,142,1990-05-18,1990-05-18
268,2378,143,1982-03-14,1982-03-14
269,4401,143,1999-08-17,1999-08-17
270,100,143,1990-08-04,1990-08-04
271,3748,144,2016-08-20,2016-08-20
272,2182,145,2014-02-25,2014-02-25
273,4560,145,1999-12-01,1999-12-01
274,2588,145,1974-06-05,1974-06-05
275,1097,146,1978-10-28,1978-10-28
276,4458,147,1991-09-14,1991-09-14
277,4575,148,2013-01-17,2013-01-17
278,2411,149,1986-12-20,1986-12-20
279,1727,149,1986-08-02,1986-08-02
280,2486,149,1989-02-05,1989-02-05
281,4392,150,1981-10-26,1981-10-26
282,3481,150,1972-03-23,1972-03-23
283,522,151,2006-07-31,2006-07-31
284,3497,151,1996-01-25,1996-01-25
285,703,152,1974-04-18,1974-04-18
286,4503,153,1999-11-28,1999-11-28
287,1433,153,1973-12-17,1973-12-17
288,2577,153,1996-08-03,1996-08-03
289,1391,154,1989-11-26,1989-11-26
290,1827,154,2005-12-01,2005-12-01
291,4576,154,2018-12-05,2018-12-05
292,2892,155,2014-01-12,2014-01-12
293,1910,155,1979-05-31,1979-05-31
294,2925,156,1989-04-30,1989-04-30
295,670,157,2018-09-08,2018-09-08
296,3223,158,2003-04-21,2003-04-21
297,4210,158,1975-01-03,1975-01-03
298,2367,159,2002-02-10,2002-02-10
299,3296,159,1983-09-25,1983-09-25
300,1154,159,1993-12-12,1993-12-12
301,131,160,2017-08-12,2017-08-12
302,25,161,1988-03-22,1988-03-22
303,3964,161,1982-04-11,1982-04-11
304,2699,162,2007-06-30,2007-06-30
305,1716,163,1977-10-12,1977-10-12
306,162,164,1978-09-23,1978-09-23
307,720,164,1990-07-16,1990-07-16
308,1812,164,2006-06-14,2006-06-14
309,2797,165,2018-10-23,2018-10-23
310,1784,165,2015-06-13,2015-06-13
311,3187,165,2010-05-13,2010-05-13
312,249,166,1994-04-16,1994-04-16
313,2908,166,2000-05-11,2000-05-11
314,3481,166,1996-07-19,1996-07-19
315,4035,167,1978-11-24,1978-11-24
316,1091,168,2001-04-30,2001-04-30
317,3941,168,1979-03-04,1979-03-04
318,2913,169,1975-11-19,1975-11-19
319,4126,170,1970-06-03,1970-06-03
320,4393,170,2016-04-18,2016-04-18
321,4053,171,1984-12-21,1984-12-21
322,559,171,2006-06-20,2006-06-20
323,2628,172,2009-06-05,2009-06-05
324,2250,172,2018-05-30,2018-05-30
325,3270,172,1977-07-15,1977-07-15
326,628,173,2007-11-08,2007-11-08
327,1878,173,2015-11-11,2015-11-11
328,1487,174,2009-10-26,2009-10-26
329,2042,175,2005-01-28,2005-01-28
330,3096,176,1992-05-25,1992-05-25
331,4172,176,2010-03-18,2010-03-18
332,166,176,1978-03-28,1978-03-28
333,2321,177,2008-03-01,2008-03-01
334,2783,177,1972-05-03,1972-05-03
335,102,178,1974-08-29,1974-08-29
336,488,179,1972-03-21,1972-03-21
337,2460,180,2003-06-14,2003-06-14
338,1281,180,1995-07-06,1995-07-06
339,4718,180,1994-04-13,1994-04-13
340,401,181,2020-07-03,2020-07-03
341,1946,181,1986-10-14,1986-10-14
342,144,181,1991-04-24,1991-04-24
343,517,182,2002-08-16,2002-08-16
344,4190,182,1972-03-11,1972-03-11
345,2374,182,2008-07-21,2008-07-21
346,1493,183,1982-08-30,1982-08-30
347,3102,184,1989-12-13,1989-12-13
348,1931,184,1975-10-31,1975-10-31
349,2623,185,2013-10-27,2013-10-27
350,338,185,1983-12-18,1983-12-18
351,3113,186,2016-04-15,2016-04-15
352,881,186,1994-07-14,1994-07-14
353,846,186,1992-06-14,1992-06-14
354,2356,187,1984-08-04,1984-08-04
355,4614,187,2010-08-06,2010-08-06
356,2465,187,2017-12-21,2017-12-21
357,3681,188,2017-12-24,2017-12-24
358,3957,188,2008-02-02,2008-02-02
359,2719,188,1977-04-21,1977-04-21
360,4998,189,2012-03-17,2012-03-17
361,2794,189,2012-05-19,2012-05-19
362,2556,189,1973-12-14,1973-12-14
363,3325,190,2004-01-05,2004-01-05
364,2662,190,1984-04-30,1984-04-30
365,225,190,2001-02-21,2001-02-21
366,387,191,1997-08-13,1997-08-13
367,2519,191,2009-08-26,2009-08-26
368,2773,191,2001-02-27,2001-02-27
369,4109,192,1977-12-31,1977-12-31
370,1717,193,2010-09-11,2010-09-11
371,2313,193,1970-12-27,1970-12-27
372,2315,193,2012-08-04,2012-08-04
373,3758,194,1977-07-20,1977-07-20
374,4146,195,1979-05-25,1979-05-25
375,4200,195,2007-07-05,2007-07-05
376,2605,196,2009-08-26,2009-08-26
377,427,197,2009-03-10,2009-03-10
378,2190,197,1988-01-05,1988-01-05
379,170,198,1973-09-24,1973-09-24
380,596,198,2002-03-23,2002-03-23
381,1972,198,1985-11-16,1985-11-16
382,2197,199,1979-06-23,1979-06-23
383,4846,199,1984-12-17,1984-12-17
384,1299,200,1976-01-20,1976-01-20
385,4392,200,1992-05-29,1992-05-29
386,634,201,2001-07-28,2001-07-28
387,4529,201,2018-02-22,2018-02-22
388,752,201,1998-01-27,1998-01-27
389,545,202,1982-01-04,1982-01-04
390,2428,203,1975-09-29,1975-09-29
391,1830,204,1974-10-29,1974-10-29
392,2579,204,1991-02-03,1991-02-03
393,2747,205,2007-12-27,2007-12-27
394,472,206,1991-02-19,1991-02-19
395,3296,207,1993-10-14,1993-10-14
396,3958,207,2017-01-31,2017-01-31
397,1127,208,1991-11-21,1991-11-21
398,827,208,1987-03-14,1987-03-14
399,3599,209,2010-01-18,2010-01-18
400,102,209,1993-07-01,1993-07-01
401,1969,210,1998-10-19,1998-10-19
402,209,210,2002-07-14,2002-07-14
403,1675,211,1977-12-13,1977-12-13
404,485,212,2007-08-16,2007-08-16
405,781,212,1970-08-14,1970-08-14
406,991,213,2010-08-25,2010-08-25
407,4278,214,1974-03-11,1974-03-11
408,3195,214,1991-09-26,1991-09-26
409,2682,214,2005-11-27,2005-11-27
410,2172,215,2001-08-02,2001-08-02
411,1170,215,2000-05-31,2000-05-31
412,2960,215,2005-11-28,2005-11-28
413,257,216,2007-05-21,2007-05-21
414,1700,216,1994-01-04,1994-01-04
415,1688,216,2008-12-21,2008-12-21
416,3078,217,1982-11-24,1982-11-24
417,4526,217,2003-03-30,2003-03-30
418,1310,218,1989-01-16,1989-01-16
419,903,218,1991-03-16,1991-03-16
420,2157,219,1995-03-16,1995-03-16
421,3695,219,1999-08-16,1999-08-16
422,495,219,2000-05-13,2000-05-13
423,4188,220,1973-09-12,1973-09-12
424,2170,220,2015-02-12,2015-02-12
425,2716,220,1997-11-20,1997-11-20
426,1764,221,2016-06-21,2016-06-21
427,4510,221,2015-07-25,2015-07-25
428,3119,221,1991-02-01,1991-02-01
429,3045,222,2004-04-15,2004-04-15
430,4885,222,1991-11-27,1991-11-27
431,3773,222,2008-10-14,2008-10-14
432,413,223,1978-05-01,1978-05-01
433,4224,223,2005-04-17,2005-04-17
434,1097,224,1978-10-20,1978-10-20
435,1381,224,1996-02-13,1996-02-13
436,4582,224,1988-11-20,1988-11-20
437,4777,225,1998-06-11,1998-06-11
438,2906,225,1994-03-20,1994-03-20
439,3659,225,1972-04-01,1972-04-01
440,630,226,2005-08-24,2005-08-24
441,2762,226,1985-03-13,1985-03-13
442,3473,227,1972-03-02,1972-03-02
443,4758,227,1993-03-31,1993-03-31
444,488,228,1990-10-03,1990-10-03
445,2010,228,2004-03-02,2004-03-02
446,353,229,1998-06-14,1998-06-14
447,2510,229,2021-01-19,2021-01-19
448,2866,230,1996-11-08,1996-11-08
449,2968,230,2010-03-25,2010-03-25
450,4613,230,1976-05-07,1976-05-07
451,2961,231,1999-07-17,1999-07-17
452,2083,232,2008-04-20,2008-04-20
453,1537,232,2004-09-13,2004-09-13
454,3781,232,2010-10-07,2010-10-07
455,4941,233,1975-08-04,1975-08-04
456,3513,233,1996-11-09,1996-11-09
457,4036,233,1977-08-18,1977-08-18
458,2186,234,1978-08-15,1978-08-15
459,543,235,2004-07-03,2004-07-03
460,3776,235,1970-05-03,1970-05-03
461,1336,235,1992-08-03,1992-08-03
462,2927,236,2019-03-24,2019-03-24
463,3495,236,1989-08-04,1989-08-04
464,2751,236,2016-03-01,2016-03-01
465,3937,237,2010-12-08,2010-12-08
466,819,237,2020-11-13,2020-11-13
467,2882,237,2008-09-12,2008-09-12
468,427,238,1977-06-20,1977-06-20
469,4354,239,2015-07-05,2015-07-05
470,1434,240,2010-08-02,2010-08-02
471,3632,240,1974-09-03,1974-09-03
472,1802,240,1984-05-21,1984-05-21
473,128,241,2014-04-18,2014-04-18
474,514,242,1985-11-21,1985-11-21
475,3395,242,2017-06-25,2017-06-25
476,1235,242,2018-04-06,2018-04-06
477,2462,243,2004-02-16,2004-02-16
478,2362,244,1992-03-17,1992-03-17
479,3998,244,2019-05-05,2019-05-05
480,4198,245,2010-11-04,2010-11-04
481,4422,245,1972-02-22,1972-02-22
482,1981,246,1996-02-17,1996-02-17
483,1707,246,1995-10-25,1995-10-25
484,1760,246,2017-08-25,2017-08-25
485,2992,247,2006-05-15,2006-05-15
486,4855,247,1999-02-17,1999-02-17
487,795,247,1998-12-29,1998-12-29
488,1894,248,1991-10-15,1991-10-15
489,4746,249,2018-01-07,2018-01-07
490,2211,249,2008-09-03,2008-09-03
491,3165,249,1993-04-23,1993-04-23
492,3306,250,2020-11-25,2020-11-25
493,4294,251,1983-11-11,1983-11-11
494,1028,251,1989-08-01,1989-08-01
495,1133,251,1982-04-27,1982-04-27
496,3516,252,2001-05-30,2001-05-30
497,1880,253,1980-05-29,1980-05-29
498,599,254,2006-02-19,2006-02-19
499,1861,254,1979-11-02,1979-11-02
500,3314,255,1978-09-18,1978-09-18
501,809,255,1982-08-03,1982-08-03
502,3093,255,1978-10-13,1978-10-13
503,4966,256,1996-09-09,1996-09-09
504,2844,256,1986-04-13,1986-04-13
505,3449,257,2017-11-05,2017-11-05
506,4911,257,1984-12-22,1984-12-22
507,2797,257,1989-03-23,1989-03-23
508,2669,258,2019-04-09,2019-04-09
509,1896,258,1989-05-12,1989-05-12
510,701,258,2009-05-12,2009-05-12
511,1481,259,1994-02-11,1994-02-11
512,999,260,2001-09-13,2001-09-13
513,4993,260,1984-05-24,1984-05-24
514,3516,261,1990-07-19,1990-07-19
515,4389,261,1992-03-21,1992-03-21
516,3853,262,1982-07-02,1982-07-02
517,4586,262,1986-02-20,1986-02-20
518,4974,263,2003-05-13,2003-05-13
519,3873,263,1986-10-06,1986-10-06
520,496,264,1989-03-15,1989-03-15
521,1992,264,1993-01-31,1993-01-31
522,2521,264,1999-09-15,1999-09-15
523,3938,265,2018-07-15,2018-07-15
524,2798,265,2016-09-05,2016-09-05
525,3347,265,1994-08-05,1994-08-05
526,2066,266,1998-02-17,1998-02-17
527,4621,266,1994-06-05,1994-06-05
528,1748,266,2011-12-30,2011-12-30
529,305,267,1972-12-16,1972-12-16
530,3495,268,2006-05-30,2006-05-30
531,1361,268,2005-09-05,2005-09-05
532,2382,269,1976-06-19,1976-06-19
533,3334,269,1993-01-07,1993-01-07
534,1348,270,2002-08-18,2002-08-18
535,4552,270,1980-04-20,1980-04-20
536,2678,270,1999-07-15,1999-07-15
537,3358,271,2005-01-02,2005-01-02
538,2088,271,2003-07-01,2003-07-01
539,3462,271,2005-09-26,2005-09-26
540,4456,272,2020-06-16,2020-06-16
541,1883,273,1975-01-10,1975-01-10
542,3233,273,1981-12-06,1981-12-06
543,4608,274,2013-10-24,2013-10-24
544,2088,275,2015-08-30,2015-08-30
545,2698,275,2006-08-17,2006-08-17
546,1843,275,2017-11-21,2017-11-21
547,2217,276,2011-03-17,2011-03-17
548,4538,276,1977-09-28,1977-09-28
549,2803,277,2014-08-15,2014-08-15
550,4078,278,1998-09-19,1998-09-19
551,708,279,1976-09-14,1976-09-14
552,226,279,1993-09-22,1993-09-22
553,1590,280,2000-06-26,2000-06-26
554,235,281,1991-07-26,1991-07-26
555,607,281,1970-05-21,1970-05-21
556,4203,281,1977-03-23,1977-03-23
557,4507,282,1999-08-31,1999-08-31
558,3334,283,1973-08-31,1973-08-31
559,2430,283,1994-02-08,1994-02-08
560,2299,284,2008-10-23,2008-10-23
561,2004,284,1970-10-07,1970-10-07
562,1749,284,1982-08-17,1982-08-17
563,788,285,1988-04-20,1988-04-20
564,1076,285,2000-06-22,2000-06-22
565,4507,286,2001-11-18,2001-11-18
566,3244,287,2017-09-15,2017-09-15
567,3631,288,1996-05-23,1996-05-23
568,3370,288,1992-12-07,1992-12-07
569,34,289,2010-04-08,2010-04-08
570,4801,289,2009-05-29,2009-05-29
571,1240,289,2018-01-28,2018-01-28
572,1025,290,2004-05-06,2004-05-06
573,3951,290,1977-02-25,1977-02-25
574,2359,290,1993-03-27,1993-03-27
575,1727,291,1973-05-24,1973-05-24
576,3585,291,1987-04-23,1987-04-23
577,2912,292,2007-12-12,2007-12-12
578,557,292,2004-08-31,2004-08-31
579,4585,293,1985-08-14,1985-08-14
580,4436,293,1978-11-28,1978-11-28
581,3261,293,1995-11-27,1995-11-27
582,1062,294,2003-06-21,2003-06-21
583,4200,294,1977-01-25,1977-01-25
584,2995,295,1984-12-26,1984-12-26
585,3542,295,1981-06-18,1981-06-18
586,3472,296,2011-11-28,2011-11-28
587,3343,296,1971-05-07,1971-05-07
588,86,296,1972-03-18,1972-03-18
589,632,297,2018-09-04,2018-09-04
590,1221,297,2020-02-11,2020-02-11
591,1626,297,2015-03-20,2015-03-20
592,3793,298,2014-06-18,2014-06-18
593,4708,298,1990-06-22,1990-06-22
594,3559,299,1987-12-26,1987-12-26
595,2546,299,2007-12-29,2007-12-29
596,3719,300,1990-08-09,1990-08-09
597,1242,300,1973-05-21,1973-05-21
598,2153,300,1994-11-08,1994-11-08
599,3957,301,1984-11-08,1984-11-08
600,447,301,1990-03-19,1990-03-19
601,4762,302,1984-01-08,1984-01-08
602,3334,302,1986-03-21,1986-03-21
603,487,302,1996-11-06,1996-11-06
604,2851,303,1972-06-16,1972-06-16
605,775,303,1987-02-04,1987-02-04
606,4385,303,2014-01-25,2014-01-25
607,3760,304,2017-02-11,2017-02-11
608,1663,304,2013-10-06,2013-10-06
609,2692,304,1989-12-24,1989-12-24
610,4952,305,2007-05-30,2007-05-30
611,1599,305,2015-09-02,2015-09-02
612,1196,305,2008-02-01,2008-02-01
613,3991,306,1992-06-12,1992-06-12
614,4762,307,1970-12-18,1970-12-18
615,259,307,1999-10-31,1999-10-31
616,2260,307,1985-09-04,1985-09-04
617,3199,308,2000-03-07,2000-03-07
618,4995,308,2000-04-27,2000-04-27
619,1406,309,2004-04-19,2004-04-19
620,567,309,1979-05-27,1979-05-27
621,241,310,2001-10-09,2001-10-09
622,1838,310,1996-10-14,1996-10-14
623,3250,311,1977-03-24,1977-03-24
624,3507,312,1988-01-21,1988-01-21
625,3544,312,2021-03-31,2021-03-31
626,2095,312,2003-09-02,2003-09-02
627,2785,313,1971-06-22,1971-06-22
628,2443,313,1972-07-25,1972-07-25
629,3242,313,1974-06-09,1974-06-09
630,4951,314,1995-02-12,1995-02-12
631,2671,315,2020-06-24,2020-06-24
632,2540,316,1979-06-13,1979-06-13
633,3288,316,1994-02-19,1994-02-19
634,2515,317,1985-07-14,1985-07-14
635,2121,317,1972-01-05,1972-01-05
636,1383,318,2020-07-23,2020-07-23
637,3741,318,1995-09-02,1995-09-02
638,93,318,1981-08-31,1981-08-31
639,1295,319,1971-09-11,1971-09-11
640,1933,319,2018-04-11,2018-04-11
641,1449,320,1979-12-08,1979-12-08
642,4184,320,1995-04-14,1995-04-14
643,3096,320,1979-12-23,1979-12-23
644,3077,321,1998-06-12,1998-06-12
645,2260,321,1994-12-06,1994-12-06
646,4227,322,1980-01-28,1980-01-28
647,4394,323,1980-02-02,1980-02-02
648,597,323,1993-01-13,1993-01-13
649,2895,324,1997-03-18,1997-03-18
650,4675,324,2013-12-08,2013-12-08
651,541,324,1993-02-14,1993-02-14
652,4339,325,2007-11-14,2007-11-14
653,1526,325,1989-02-08,1989-02-08
654,2138,326,2014-07-30,2014-07-30
655,2024,326,1984-05-27,1984-05-27
656,881,326,1984-05-25,1984-05-25
657,3590,327,1985-06-08,1985-06-08
658,1782,327,1980-06-09,1980-06-09
659,3269,328,2004-09-07,2004-09-07
660,337,328,2010-07-18,2010-07-18
661,837,328,2007-11-08,2007-11-08
662,1246,329,1992-07-21,1992-07-21
663,2288,329,1979-05-30,1979-05-30
664,4136,329,1989-05-27,1989-05-27
665,4462,330,1984-01-05,1984-01-05
666,4591,331,1988-10-04,1988-10-04
667,3108,332,1996-09-28,1996-09-28
668,1829,333,2010-06-16,2010-06-16
669,449,333,1982-11-09,1982-11-09
670,2794,333,1982-09-01,1982-09-01
671,3074,334,2020-08-17,2020-08-17
