id,s_id,a_id,created_at,upated_at
83,28,1130,2012-08-08,2012-08-08
84,28,4424,2004-09-18,2004-09-18
85,28,2824,2007-03-16,2007-03-16
86,28,908,2002-05-29,2002-05-29
87,28,3430,1976-05-28,1976-05-28
88,29,3527,1994-02-26,1994-02-26
89,29,4181,2000-07-28,2000-07-28
90,30,1096,2003-10-23,2003-10-23
91,30,4819,1998-09-30,1998-09-30
92,30,897,1986-10-27,1986-10-27
93,31,136,1975-03-08,1975-03-08
94,31,2415,1998-08-12,1998-08-12
95,31,4768,2018-11-30,2018-11-30
96,32,1093,2001-01-11,2001-01-11
97,33,675,1994-07-30,1994-07-30
98,33,22,1970-02-21,1970-02-21
99,34,1734,2019-04-26,2019-04-26
100,35,3399,2003-05-30,2003-05-30
101,35,995,1974-04-26,1974-04-26
102,35,1347,2000-02-02,2000-02-02
103,35,2294,2007-09-22,2007-09-22
104,36,2347,2000-11-20,2000-11-20
105,36,1618,1985-09-27,1985-09-27
106,36,1909,1989-11-08,1989-11-08
107,36,2801,2019-12-20,2019-12-20
108,37,3015,1998-07-15,1998-07-15
109,37,3630,1970-09-19,1970-09-19
110,38,1115,1984-12-24,1984-12-24
111,38,944,2008-01-04,2008-01-04
112,38,2395,2018-01-15,2018-01-15
113,38,2731,2006-11-11,2006-11-11
114,39,2590,1984-05-05,1984-05-05
115,39,1957,2019-08-13,2019-08-13
116,39,568,1988-07-29,1988-07-29
117,39,4777,1976-09-01,1976-09-01
118,39,1060,2004-03-13,2004-03-13
119,40,4057,1976-08-21,1976-08-21
120,40,2398,2002-07-30,2002-07-30
121,40,1949,2016-08-21,2016-08-21
122,41,4047,1978-04-03,1978-04-03
123,41,3682,1986-02-20,1986-02-20
124,41,1409,1990-12-22,1990-12-22
125,41,4816,2012-06-04,2012-06-04
126,42,2815,2018-07-31,2018-07-31
127,42,1176,1991-05-17,1991-05-17
128,42,3760,2012-02-02,2012-02-02
129,42,3610,1995-08-10,1995-08-10
130,43,2048,2019-10-03,2019-10-03
131,43,1996,2008-01-05,2008-01-05
132,43,2317,1990-03-27,1990-03-27
133,43,1513,1979-06-22,1979-06-22
134,44,4789,2003-04-19,2003-04-19
135,45,2064,1986-11-15,1986-11-15
136,45,1286,2020-07-04,2020-07-04
137,45,504,1985-03-30,1985-03-30
138,45,167,1975-09-12,1975-09-12
139,45,2537,1997-11-20,1997-11-20
140,46,2045,1985-01-15,1985-01-15
141,46,497,2018-12-28,2018-12-28
142,46,3381,1989-05-16,1989-05-16
143,47,3228,1987-09-20,1987-09-20
144,47,3876,1980-07-19,1980-07-19
145,48,3887,1994-05-03,1994-05-03
146,48,4943,1973-04-22,1973-04-22
147,48,4135,1984-11-21,1984-11-21
148,49,1464,2006-09-04,2006-09-04
149,49,3817,1982-09-04,1982-09-04
150,50,3395,2010-05-30,2010-05-30
151,50,604,2003-12-23,2003-12-23
152,50,3744,2014-09-06,2014-09-06
153,50,3788,1977-08-04,1977-08-04
154,51,221,1977-08-18,1977-08-18
155,51,1525,1994-02-22,1994-02-22
156,51,1527,1992-07-25,1992-07-25
157,52,2927,2021-01-31,2021-01-31
158,53,3149,1980-08-20,1980-08-20
159,53,3298,2008-11-06,2008-11-06
160,54,4013,1992-04-16,1992-04-16
161,54,3039,2012-12-02,2012-12-02
162,54,4427,1981-07-12,1981-07-12
163,55,4061,1998-08-16,1998-08-16
164,55,66,1990-09-17,1990-09-17
165,55,4803,1995-07-18,1995-07-18
166,55,3380,2005-09-23,2005-09-23
167,55,1796,2008-07-08,2008-07-08
168,56,1972,1980-06-06,1980-06-06
169,56,2307,2015-05-24,2015-05-24
170,56,886,1996-04-28,1996-04-28
171,56,3983,1974-07-27,1974-07-27
172,56,2852,1992-09-13,1992-09-13
173,57,4814,1970-04-11,1970-04-11
174,58,3900,1973-10-13,1973-10-13
175,58,4492,1986-07-12,1986-07-12
176,58,1237,1995-05-05,1995-05-05
177,58,237,2019-08-11,2019-08-11
178,59,1313,1992-01-15,1992-01-15
179,59,156,1982-07-01,1982-07-01
180,59,99,1993-10-10,1993-10-10
181,59,1897,1978-11-12,1978-11-12
182,59,644,2017-08-13,2017-08-13
183,60,4741,2008-08-10,2008-08-10
184,60,3114,1974-05-10,1974-05-10
185,60,669,2017-11-04,2017-11-04
186,61,664,2002-10-17,2002-10-17
187,61,2091,1995-07-27,1995-07-27
188,61,382,1994-03-28,1994-03-28
189,62,2871,1980-02-16,1980-02-16
190,63,2613,2015-08-27,2015-08-27
191,63,4029,2018-06-02,2018-06-02
192,63,4675,1978-05-22,1978-05-22
193,63,42,1997-06-11,1997-06-11
194,63,1284,2015-02-23,2015-02-23
195,64,4222,1997-12-17,1997-12-17
196,65,1680,1983-10-27,1983-10-27
197,66,465,2015-05-18,2015-05-18
198,66,2806,2003-11-26,2003-11-26
199,66,4531,2011-01-20,2011-01-20
200,67,1539,2004-02-11,2004-02-11
201,67,3988,1998-07-17,1998-07-17
202,67,3559,2016-12-15,2016-12-15
203,67,1731,1972-02-16,1972-02-16
204,68,1144,2004-06-18,2004-06-18
205,69,3044,2000-04-24,2000-04-24
206,69,2108,1975-01-26,1975-01-26
207,69,1747,1971-10-12,1971-10-12
208,69,3152,1996-04-17,1996-04-17
209,69,2112,1974-07-17,1974-07-17
210,70,3080,2015-04-14,2015-04-14
211,70,1612,2017-02-20,2017-02-20
212,70,505,2017-01-04,2017-01-04
213,70,1857,1999-08-10,1999-08-10
214,71,1253,1977-05-06,1977-05-06
215,71,514,1971-06-09,1971-06-09
216,71,622,2005-12-22,2005-12-22
217,71,2159,1985-02-18,1985-02-18
218,72,2972,1997-08-25,1997-08-25
219,72,1132,1998-11-22,1998-11-22
220,72,700,1988-03-24,1988-03-24
221,72,1351,2012-03-28,2012-03-28
222,73,3206,1994-04-14,1994-04-14
223,73,319,1998-12-30,1998-12-30
224,73,4536,1977-08-08,1977-08-08
225,74,1637,1972-06-12,1972-06-12
226,74,4105,1988-05-13,1988-05-13
227,74,1598,2010-10-11,2010-10-11
228,75,129,2002-04-06,2002-04-06
229,75,136,1997-09-07,1997-09-07
230,76,2613,1997-12-03,1997-12-03
231,76,3292,2006-07-05,2006-07-05
232,76,2777,2012-02-23,2012-02-23
233,76,4797,2015-04-28,2015-04-28
234,76,1226,1983-03-27,1983-03-27
235,77,1261,1980-08-25,1980-08-25
236,77,4653,1985-08-03,1985-08-03
237,77,4570,2013-09-09,2013-09-09
238,77,573,2018-06-02,2018-06-02
239,77,1740,1997-10-18,1997-10-18
240,78,2328,1976-03-19,1976-03-19
241,79,3396,2012-09-08,2012-09-08
242,79,3077,1986-07-07,1986-07-07
243,80,3097,1984-05-25,1984-05-25
244,80,2740,1987-11-26,1987-11-26
245,80,4587,1998-01-01,1998-01-01
246,80,3376,1995-07-09,1995-07-09
247,81,4750,2020-11-15,2020-11-15
248,82,3574,1973-06-14,1973-06-14
249,83,3806,2010-01-18,2010-01-18
250,84,1772,2015-07-08,2015-07-08
251,84,1983,2018-05-26,2018-05-26
252,84,1131,1985-12-08,1985-12-08
253,85,1223,1988-01-15,1988-01-15
254,85,3002,2014-06-06,2014-06-06
255,86,1264,1997-11-29,1997-11-29
256,87,2262,2005-01-02,2005-01-02
257,87,3154,1998-04-02,1998-04-02
258,87,1948,1971-07-04,1971-07-04
259,87,1479,2012-08-29,2012-08-29
260,88,1517,2015-01-01,2015-01-01
261,88,2041,2003-09-02,2003-09-02
262,89,4717,1993-12-25,1993-12-25
263,89,2538,2008-03-24,2008-03-24
264,90,3468,1997-05-31,1997-05-31
265,90,3767,1986-05-21,1986-05-21
266,91,1765,1998-09-26,1998-09-26
267,91,376,2018-07-02,2018-07-02
268,91,2182,1978-04-22,1978-04-22
269,91,3228,2014-02-14,2014-02-14
270,92,1907,2018-05-08,2018-05-08
271,92,2166,1997-05-12,1997-05-12
272,92,3439,1972-05-17,1972-05-17
273,93,4205,2011-09-05,2011-09-05
274,93,3804,1974-03-11,1974-03-11
275,94,1541,1998-12-02,1998-12-02
276,95,1994,2017-10-20,2017-10-20
277,95,788,2007-12-12,2007-12-12
278,95,2415,2016-09-13,2016-09-13
279,95,1752,1993-06-16,1993-06-16
280,96,2765,2012-02-20,2012-02-20
281,96,2342,2015-04-20,2015-04-20
282,97,2138,2014-11-02,2014-11-02
283,97,4605,1989-06-08,1989-06-08
284,98,4309,1995-11-18,1995-11-18
285,98,139,2007-10-01,2007-10-01
286,98,1715,1999-05-04,1999-05-04
287,99,675,1970-07-22,1970-07-22
288,99,4798,2004-02-23,2004-02-23
289,99,3337,1994-08-26,1994-08-26
290,99,2637,1985-07-23,1985-07-23
291,99,827,2010-05-19,2010-05-19
292,100,33,2004-02-09,2004-02-09
293,100,3345,1976-06-04,1976-06-04
294,100,4177,2006-12-22,2006-12-22
295,101,1290,2003-12-17,2003-12-17
296,101,4763,2016-10-14,2016-10-14
297,102,4058,2003-10-27,2003-10-27
298,102,1221,1994-04-24,1994-04-24
299,102,158,1999-11-01,1999-11-01
300,102,2981,2001-02-21,2001-02-21
301,103,3248,1992-01-22,1992-01-22
302,103,1303,1991-09-21,1991-09-21
303,103,2102,1986-02-12,1986-02-12
304,103,2138,1996-04-02,1996-04-02
305,103,4370,1991-06-12,1991-06-12
306,104,250,1987-09-22,1987-09-22
307,104,1098,2017-12-18,2017-12-18
308,104,4772,1999-01-15,1999-01-15
309,105,4542,2020-10-19,2020-10-19
310,105,2461,2008-03-22,2008-03-22
311,105,1287,1989-10-21,1989-10-21
312,105,4522,2010-12-12,2010-12-12
313,106,21,2009-11-11,2009-11-11
314,106,42,2000-05-09,2000-05-09
315,106,2276,2016-11-17,2016-11-17
316,106,2001,2006-08-15,2006-08-15
317,107,468,2014-06-02,2014-06-02
318,107,2694,2004-04-10,2004-04-10
319,107,798,1999-08-17,1999-08-17
320,107,339,1994-02-16,1994-02-16
321,108,1939,1970-03-23,1970-03-23
322,109,3534,2004-08-30,2004-08-30
323,109,2019,1987-12-27,1987-12-27
324,109,4457,1998-12-28,1998-12-28
325,109,4981,2015-10-25,2015-10-25
326,109,944,2007-09-02,2007-09-02
327,110,1012,2003-06-08,2003-06-08
328,110,3936,2017-08-07,2017-08-07
329,110,4605,1988-04-26,1988-04-26
330,111,1798,1988-08-01,1988-08-01
331,111,3524,2010-07-03,2010-07-03
332,111,2722,1978-07-16,1978-07-16
333,111,4552,1973-06-16,1973-06-16
334,111,4054,2016-10-14,2016-10-14
335,112,2731,1999-04-04,1999-04-04
336,113,1239,2019-12-08,2019-12-08
337,113,3047,2020-11-19,2020-11-19
338,113,4789,2010-12-07,2010-12-07
339,113,352,1993-10-19,1993-10-19
340,113,4632,1994-12-16,1994-12-16
341,114,426,1976-08-17,1976-08-17
342,115,372,1995-12-27,1995-12-27
343,115,2501,1995-04-13,1995-04-13
344,116,1222,2013-02-24,2013-02-24
345,116,4791,2017-04-16,2017-04-16
346,116,2401,1996-10-10,1996-10-10
347,117,4975,2000-08-29,2000-08-29
348,117,138,2015-02-19,2015-02-19
349,117,4241,1981-08-30,1981-08-30
350,117,4222,1992-08-15,1992-08-15
351,117,386,1978-04-14,1978-04-14
352,118,1399,2005-11-23,2005-11-23
353,118,4257,1998-08-23,1998-08-23
354,119,3042,1973-10-01,1973-10-01
355,119,3385,1976-06-05,1976-06-05
356,119,3790,1985-11-29,1985-11-29
357,119,2176,2014-05-09,2014-05-09
358,120,3681,1974-06-13,1974-06-13
359,121,1490,1978-12-07,1978-12-07
360,121,4248,1981-07-14,1981-07-14
361,122,218,2003-02-16,2003-02-16
362,122,4892,2008-07-11,2008-07-11
363,123,3399,1985-03-23,1985-03-23
364,123,4559,2014-02-27,2014-02-27
365,123,4452,2005-03-24,2005-03-24
366,123,3713,2004-09-28,2004-09-28
367,123,3377,1985-02-02,1985-02-02
368,124,2910,1991-12-19,1991-12-19
369,124,4058,1986-04-08,1986-04-08
370,125,3413,1971-04-16,1971-04-16
371,125,314,1983-03-20,1983-03-20
372,126,1245,1988-11-18,1988-11-18
373,126,1227,1986-03-04,1986-03-04
374,126,2285,2004-03-05,2004-03-05
375,126,1794,2004-12-15,2004-12-15
376,126,4954,2004-11-27,2004-11-27
377,127,2817,1971-12-12,1971-12-12
378,127,1589,1996-04-21,1996-04-21
379,127,2546,2014-04-18,2014-04-18
380,127,1895,1984-05-01,1984-05-01
381,127,4663,1985-08-30,1985-08-30
382,128,365,2013-03-07,2013-03-07
383,128,2153,2015-09-02,2015-09-02
384,128,4734,1983-05-29,1983-05-29
385,129,1945,2006-02-07,2006-02-07
386,129,2610,2020-03-22,2020-03-22
387,129,1602,1977-09-02,1977-09-02
388,129,1317,1974-11-07,1974-11-07
389,130,559,2011-10-08,2011-10-08
390,130,3722,1971-10-03,1971-10-03
391,130,4923,1980-04-05,1980-04-05
392,131,3910,1978-12-04,1978-12-04
393,131,1264,2020-01-06,2020-01-06
394,131,3086,1979-10-14,1979-10-14
395,132,776,1993-04-29,1993-04-29
396,133,4466,2005-02-22,2005-02-22
397,133,3884,1977-09-07,1977-09-07
398,134,4389,1976-12-27,1976-12-27
399,134,369,1991-12-05,1991-12-05
400,134,1404,2017-07-17,2017-07-17
401,135,2095,1988-02-09,1988-02-09
402,135,3731,2005-05-12,2005-05-12
403,135,4067,2000-12-26,2000-12-26
404,136,3318,1973-06-30,1973-06-30
405,136,4056,2011-04-28,2011-04-28
406,136,849,1992-10-23,1992-10-23
407,137,4482,1976-12-15,1976-12-15
408,137,2916,1989-05-03,1989-05-03
409,137,529,1976-07-19,1976-07-19
410,138,4369,2016-03-14,2016-03-14
411,139,1606,1974-08-30,1974-08-30
412,139,1992,1986-10-14,1986-10-14
413,140,839,1985-01-05,1985-01-05
414,140,1316,1977-08-08,1977-08-08
415,140,4935,2007-05-17,2007-05-17
416,141,720,2015-12-19,2015-12-19
417,142,1652,1987-08-30,1987-08-30
418,142,4117,1990-05-14,1990-05-14
419,142,3266,1995-12-14,1995-12-14
420,143,313,1988-06-06,1988-06-06
421,143,2215,1989-04-02,1989-04-02
422,143,65,1987-08-31,1987-08-31
423,143,2449,1979-07-19,1979-07-19
424,144,1022,2020-04-05,2020-04-05
425,144,4741,1991-05-14,1991-05-14
426,144,2862,1980-09-05,1980-09-05
427,145,1702,1982-09-29,1982-09-29
428,145,4763,1986-07-02,1986-07-02
429,146,2034,2006-06-13,2006-06-13
430,146,1376,2007-12-05,2007-12-05
431,147,4680,2011-12-02,2011-12-02
432,147,657,2011-10-25,2011-10-25
433,147,4830,2015-05-29,2015-05-29
434,148,1252,1973-11-16,1973-11-16
435,148,2331,1976-07-07,1976-07-07
436,148,464,2009-05-03,2009-05-03
437,148,1699,1986-03-01,1986-03-01
438,149,1120,2005-11-29,2005-11-29
439,150,1443,1996-01-27,1996-01-27
440,150,429,1996-07-18,1996-07-18
441,150,3489,2008-08-04,2008-08-04
442,150,4275,1978-03-15,1978-03-15
443,151,1003,2017-05-17,2017-05-17
444,152,4650,1996-10-07,1996-10-07
445,152,1647,1980-09-30,1980-09-30
446,152,596,2009-06-01,2009-06-01
447,152,4957,1974-04-21,1974-04-21
448,153,613,1987-05-07,1987-05-07
449,153,3301,1977-12-21,1977-12-21
450,153,2961,1976-01-24,1976-01-24
451,153,3476,1979-11-17,1979-11-17
452,154,4071,1996-08-21,1996-08-21
453,155,2935,2006-04-25,2006-04-25
454,155,4842,1972-04-25,1972-04-25
455,156,2589,1975-07-06,1975-07-06
456,156,445,1981-01-18,1981-01-18
457,156,3206,1978-12-16,1978-12-16
458,156,2578,2016-10-01,2016-10-01
459,157,2418,2002-06-23,2002-06-23
460,157,503,2017-12-16,2017-12-16
461,158,4601,1997-09-01,1997-09-01
462,158,1475,2013-10-01,2013-10-01
463,158,2280,2004-03-14,2004-03-14
464,159,4168,2012-06-23,2012-06-23
465,159,3960,1975-09-23,1975-09-23
466,159,74,1989-05-04,1989-05-04
467,159,3329,2001-04-14,2001-04-14
468,160,2483,1984-12-22,1984-12-22
469,160,2020,1994-06-07,1994-06-07
470,161,1152,1971-09-04,1971-09-04
471,161,1530,1970-02-10,1970-02-10
472,162,4787,1988-03-13,1988-03-13
473,162,911,1974-10-30,1974-10-30
474,162,4879,1994-05-15,1994-05-15
475,162,3576,2006-11-20,2006-11-20
476,162,1146,2011-01-13,2011-01-13
477,163,2745,2013-01-20,2013-01-20
478,163,2784,1978-11-24,1978-11-24
479,163,545,1980-09-10,1980-09-10
480,163,4951,1983-08-25,1983-08-25
481,164,3547,1978-07-18,1978-07-18
482,165,528,1985-12-26,1985-12-26
483,165,1592,1980-02-13,1980-02-13
484,165,2666,1986-12-31,1986-12-31
485,165,3264,1971-07-27,1971-07-27
486,166,3334,2019-09-22,2019-09-22
487,166,2493,2012-12-03,2012-12-03
488,166,4288,1986-06-07,1986-06-07
489,166,786,1972-11-20,1972-11-20
490,167,2946,2005-07-23,2005-07-23
491,167,4371,2020-10-27,2020-10-27
492,167,3400,1973-09-26,1973-09-26
493,168,2231,2010-03-14,2010-03-14
494,168,3967,1996-06-28,1996-06-28
495,168,1871,1995-07-12,1995-07-12
496,168,161,2001-04-09,2001-04-09
497,168,1987,2003-10-06,2003-10-06
498,169,2885,1978-04-24,1978-04-24
499,169,1333,2005-02-02,2005-02-02
500,169,2904,1997-01-18,1997-01-18
501,170,3769,1972-01-12,1972-01-12
502,170,489,1977-08-17,1977-08-17
503,170,4628,2013-11-25,2013-11-25
504,170,247,2005-10-22,2005-10-22
505,171,1481,1970-02-19,1970-02-19
506,172,54,1999-12-17,1999-12-17
507,172,2208,2008-03-17,2008-03-17
508,172,1107,1976-07-10,1976-07-10
509,172,2073,2010-07-30,2010-07-30
510,173,796,1976-07-03,1976-07-03
511,174,739,1974-11-10,1974-11-10
512,174,243,1990-06-17,1990-06-17
513,174,2260,2003-08-13,2003-08-13
514,175,2904,1989-02-17,1989-02-17
515,175,2941,1986-03-28,1986-03-28
516,175,2755,1996-02-14,1996-02-14
517,175,1037,2015-08-16,2015-08-16
518,176,3717,2012-07-02,2012-07-02
519,177,149,1980-12-02,1980-12-02
520,177,2255,1991-04-24,1991-04-24
521,177,4077,1981-12-04,1981-12-04
522,178,4345,1995-04-08,1995-04-08
523,178,93,2013-03-26,2013-03-26
524,178,1962,1987-09-18,1987-09-18
525,178,3348,1993-03-23,1993-03-23
526,178,2514,2019-12-19,2019-12-19
527,179,3280,1995-06-10,1995-06-10
528,179,2302,2016-11-06,2016-11-06
529,179,1423,2014-04-10,2014-04-10
530,179,3442,1992-04-19,1992-04-19
531,179,3458,2001-09-12,2001-09-12
532,180,4311,1979-05-25,1979-05-25
533,181,188,1984-08-31,1984-08-31
534,181,246,1989-04-02,1989-04-02
535,181,270,1990-02-18,1990-02-18
536,181,2022,1989-05-29,1989-05-29
537,182,3790,1982-10-08,1982-10-08
538,182,2658,2000-11-09,2000-11-09
539,182,2902,2001-07-05,2001-07-05
540,182,198,1997-03-15,1997-03-15
541,183,4387,1993-06-02,1993-06-02
542,184,201,2019-08-22,2019-08-22
543,184,1920,2012-02-18,2012-02-18
544,184,1695,2003-08-17,2003-08-17
545,185,3307,1996-10-07,1996-10-07
546,185,150,1975-06-26,1975-06-26
547,185,4942,1972-10-02,1972-10-02
548,185,114,2005-08-18,2005-08-18
549,186,2973,1979-01-18,1979-01-18
550,186,4985,1972-04-05,1972-04-05
551,186,4922,1989-03-25,1989-03-25
552,186,4714,1994-06-15,1994-06-15
553,187,2060,1998-09-21,1998-09-21
554,187,922,1981-10-10,1981-10-10
555,187,3193,1999-11-29,1999-11-29
556,187,3292,2011-10-17,2011-10-17
557,187,1594,1997-01-28,1997-01-28
558,188,3279,2009-01-18,2009-01-18
559,188,999,1997-01-05,1997-01-05
560,188,144,1974-02-24,1974-02-24
561,188,2436,1976-10-09,1976-10-09
562,188,1801,1970-01-08,1970-01-08
563,189,1263,2007-08-27,2007-08-27
564,189,3713,2001-08-17,2001-08-17
565,189,4051,1987-12-17,1987-12-17
566,189,4392,2009-11-09,2009-11-09
567,190,1788,1991-02-15,1991-02-15
568,190,4313,2020-04-30,2020-04-30
569,190,3355,1991-01-03,1991-01-03
570,191,4226,2017-06-01,2017-06-01
571,192,3042,1996-02-29,1996-02-29
572,193,4462,1999-06-06,1999-06-06
573,193,1140,1979-01-05,1979-01-05
574,193,316,2017-08-31,2017-08-31
575,193,739,1999-02-22,1999-02-22
576,193,191,2018-08-22,2018-08-22
577,194,3617,1970-03-16,1970-03-16
578,194,930,2018-03-12,2018-03-12
579,194,3919,1992-01-21,1992-01-21
580,195,1590,1976-12-23,1976-12-23
581,195,780,2008-07-07,2008-07-07
582,196,1337,1971-12-21,1971-12-21
583,196,3224,2007-02-04,2007-02-04
584,196,3417,1983-10-17,1983-10-17
585,196,3522,1988-02-05,1988-02-05
586,196,1775,1990-06-16,1990-06-16
587,197,3035,1989-12-30,1989-12-30
588,197,107,1988-04-22,1988-04-22
589,197,3925,1974-10-02,1974-10-02
590,197,2545,1991-04-05,1991-04-05
591,197,3779,1977-03-08,1977-03-08
592,198,97,1976-09-06,1976-09-06
593,198,3898,1984-05-16,1984-05-16
594,198,4612,1982-12-28,1982-12-28
595,198,4741,2018-07-26,2018-07-26
596,199,1129,1971-05-09,1971-05-09
597,199,317,1994-04-14,1994-04-14
598,199,2757,2017-10-16,2017-10-16
599,199,1907,1981-09-24,1981-09-24
600,199,2315,1996-11-17,1996-11-17
601,200,1111,1984-09-09,1984-09-09
602,200,378,1982-05-13,1982-05-13
603,201,3208,2014-07-05,2014-07-05
604,201,824,1993-01-28,1993-01-28
605,202,199,1984-04-19,1984-04-19
606,202,2042,2001-08-19,2001-08-19
607,203,2740,2016-02-09,2016-02-09
608,203,2462,1989-03-22,1989-03-22
609,203,1855,1997-08-29,1997-08-29
610,203,3607,2016-07-10,2016-07-10
611,204,593,1978-09-30,1978-09-30
612,204,3489,2012-01-03,2012-01-03
613,204,3622,1973-07-18,1973-07-18
614,205,4007,1977-06-27,1977-06-27
615,205,3928,1972-06-11,1972-06-11
616,205,1700,1991-07-05,1991-07-05
617,206,1985,1996-04-26,1996-04-26
618,206,2574,1974-11-12,1974-11-12
619,206,2766,1995-02-14,1995-02-14
620,206,2602,1979-08-06,1979-08-06
621,206,3316,2008-05-16,2008-05-16
622,207,2202,1984-04-27,1984-04-27
623,207,4611,1980-02-07,1980-02-07
624,207,1964,2008-08-01,2008-08-01
625,207,3370,1975-02-23,1975-02-23
626,207,1408,1972-12-06,1972-12-06
627,208,4910,1989-04-22,1989-04-22
628,208,4601,1988-04-04,1988-04-04
629,208,2911,2013-06-25,2013-06-25
630,209,2627,1993-04-21,1993-04-21
631,209,275,1986-01-22,1986-01-22
632,209,1531,1999-12-16,1999-12-16
633,209,637,2005-02-02,2005-02-02
634,210,4021,1991-09-11,1991-09-11
635,210,2680,2013-08-29,2013-08-29
636,210,1533,1974-05-25,1974-05-25
637,210,2074,1994-04-10,1994-04-10
638,211,2673,2012-06-13,2012-06-13
639,211,4344,1991-11-18,1991-11-18
640,212,2215,2017-08-18,2017-08-18
641,212,3259,2011-06-28,2011-06-28
642,212,4020,2018-08-01,2018-08-01
643,212,1145,2013-10-21,2013-10-21
644,213,61,1987-09-13,1987-09-13
645,214,1737,1992-05-29,1992-05-29
646,215,3154,1978-02-17,1978-02-17
647,215,2739,1983-02-28,1983-02-28
648,216,4032,2001-04-20,2001-04-20
649,217,1129,2011-08-14,2011-08-14
650,217,1822,1974-11-24,1974-11-24
651,217,3118,1980-11-26,1980-11-26
652,218,3105,2007-08-16,2007-08-16
653,218,2004,1982-10-14,1982-10-14
654,218,95,1976-05-15,1976-05-15
655,218,2606,2001-04-05,2001-04-05
656,218,4832,2001-07-14,2001-07-14
657,219,1013,2019-10-03,2019-10-03
658,219,117,1980-07-09,1980-07-09
659,219,825,2014-07-29,2014-07-29
660,220,2298,1980-01-31,1980-01-31
661,220,4588,2003-03-23,2003-03-23
662,220,320,1998-07-16,1998-07-16
663,221,4672,1981-12-04,1981-12-04
664,221,2807,1996-12-11,1996-12-11
665,221,1963,1998-12-05,1998-12-05
666,221,4485,2011-04-06,2011-04-06
667,221,3158,1980-09-08,1980-09-08
668,222,3226,2008-08-15,2008-08-15
669,222,2907,1971-05-01,1971-05-01
670,222,2904,1975-04-26,1975-04-26
671,222,2704,1974-03-19,1974-03-19
