id,u_id,b_id,created_at,upated_at
188,70,3393,1988-06-26,1988-06-26
189,70,2368,1982-03-06,1982-03-06
190,71,1013,2020-12-07,2020-12-07
191,71,2183,1993-09-21,1993-09-21
192,71,3405,2005-07-11,2005-07-11
193,71,1698,1971-12-27,1971-12-27
194,71,3962,1985-04-05,1985-04-05
195,72,4626,2016-10-02,2016-10-02
196,72,3712,1993-08-05,1993-08-05
197,72,1635,1980-06-06,1980-06-06
198,72,2693,2018-12-24,2018-12-24
199,73,1361,2003-03-17,2003-03-17
200,73,4075,1990-10-28,1990-10-28
201,73,4767,1988-04-25,1988-04-25
202,73,424,1986-06-24,1986-06-24
203,74,4627,1997-10-28,1997-10-28
204,74,65,1977-05-27,1977-05-27
205,74,3944,1986-07-15,1986-07-15
206,74,2040,1970-07-26,1970-07-26
207,75,310,1998-01-29,1998-01-29
208,75,3819,2010-06-10,2010-06-10
209,75,3078,1975-04-29,1975-04-29
210,75,4872,1990-11-13,1990-11-13
211,76,1098,1988-11-11,1988-11-11
212,76,728,1979-05-29,1979-05-29
213,77,2795,2001-01-26,2001-01-26
214,78,3866,1986-08-22,1986-08-22
215,78,4756,2006-03-04,2006-03-04
216,78,14,1986-05-16,1986-05-16
217,78,3786,2017-09-03,2017-09-03
218,78,2750,2012-01-06,2012-01-06
219,79,669,2006-11-27,2006-11-27
220,79,2373,1972-11-28,1972-11-28
221,79,406,2015-08-21,2015-08-21
222,79,1096,2005-08-23,2005-08-23
223,80,4150,2013-05-17,2013-05-17
224,80,2955,2002-01-20,2002-01-20
225,80,81,1986-08-07,1986-08-07
226,80,2193,1983-07-12,1983-07-12
227,81,2773,2009-03-25,2009-03-25
228,81,1427,1990-02-08,1990-02-08
229,81,3269,1985-11-22,1985-11-22
230,81,4573,2006-10-27,2006-10-27
231,82,2769,1976-10-26,1976-10-26
232,83,3847,1997-06-13,1997-06-13
233,83,4766,1998-08-23,1998-08-23
234,83,3796,1981-10-17,1981-10-17
235,83,3567,1988-08-25,1988-08-25
236,84,933,2018-01-29,2018-01-29
237,84,576,1971-12-20,1971-12-20
238,85,405,1984-09-24,1984-09-24
239,85,436,1976-06-04,1976-06-04
240,85,98,1978-11-30,1978-11-30
241,85,3986,2011-06-04,2011-06-04
242,86,4531,1989-11-10,1989-11-10
243,86,297,1999-09-26,1999-09-26
244,86,2647,2008-09-02,2008-09-02
245,87,4058,1972-10-29,1972-10-29
246,87,145,2001-03-18,2001-03-18
247,87,2064,1972-11-17,1972-11-17
248,87,102,1975-03-13,1975-03-13
249,88,2516,1972-12-31,1972-12-31
250,88,4465,1982-12-26,1982-12-26
251,89,3720,2007-04-13,2007-04-13
252,89,623,2001-02-18,2001-02-18
253,89,716,1976-01-26,1976-01-26
254,89,766,2003-03-28,2003-03-28
255,89,1148,1990-06-06,1990-06-06
256,90,343,1974-09-17,1974-09-17
257,90,523,2014-11-12,2014-11-12
258,90,3990,2004-09-05,2004-09-05
259,91,4646,2019-12-31,2019-12-31
260,91,1019,2006-11-05,2006-11-05
261,91,3136,1993-08-21,1993-08-21
262,91,1976,2015-08-09,2015-08-09
263,91,3005,1990-10-24,1990-10-24
264,92,3858,1997-02-02,1997-02-02
265,92,1453,2014-11-07,2014-11-07
266,92,251,1986-02-24,1986-02-24
267,92,69,1984-09-15,1984-09-15
268,92,1204,1976-06-20,1976-06-20
269,93,4463,1995-02-11,1995-02-11
270,93,4649,1993-12-07,1993-12-07
271,93,1502,2020-11-13,2020-11-13
272,94,4914,2018-02-18,2018-02-18
273,94,3165,2001-09-22,2001-09-22
274,95,718,2016-05-21,2016-05-21
275,95,204,2005-10-07,2005-10-07
276,95,3896,2011-10-06,2011-10-06
277,95,2457,2018-10-07,2018-10-07
278,95,1944,1979-06-12,1979-06-12
279,96,600,2016-10-09,2016-10-09
280,96,4656,2012-11-17,2012-11-17
281,96,3832,2011-04-18,2011-04-18
282,96,1084,1971-12-20,1971-12-20
283,96,1832,1983-03-03,1983-03-03
284,97,1048,2017-11-25,2017-11-25
285,97,3566,2019-11-03,2019-11-03
286,97,2249,1972-12-21,1972-12-21
287,97,4089,1973-04-04,1973-04-04
288,98,3326,1981-11-15,1981-11-15
289,98,2867,2001-10-10,2001-10-10
290,98,2759,1995-09-15,1995-09-15
291,99,2700,1971-10-05,1971-10-05
292,99,4937,1974-09-22,1974-09-22
293,99,4875,2009-07-02,2009-07-02
294,99,4897,1985-05-30,1985-05-30
295,100,1550,1997-12-14,1997-12-14
296,101,2944,1999-02-22,1999-02-22
297,101,2808,2019-07-03,2019-07-03
298,101,2714,1999-12-16,1999-12-16
299,101,2029,2008-03-29,2008-03-29
300,102,3392,1981-06-18,1981-06-18
301,103,3368,1990-10-29,1990-10-29
302,104,4874,1970-10-30,1970-10-30
303,104,3503,1983-03-12,1983-03-12
304,105,4902,1989-12-13,1989-12-13
305,105,4772,1988-07-09,1988-07-09
306,105,4543,2012-09-07,2012-09-07
307,105,1621,1972-10-21,1972-10-21
308,106,4312,1992-02-13,1992-02-13
309,106,3614,1982-04-14,1982-04-14
310,106,4277,2011-09-12,2011-09-12
311,107,955,1993-02-27,1993-02-27
312,108,2153,2000-12-07,2000-12-07
313,109,3221,2002-02-16,2002-02-16
314,109,1736,1971-10-20,1971-10-20
315,109,4766,1997-05-19,1997-05-19
316,110,1453,2005-04-27,2005-04-27
317,110,1918,2013-09-06,2013-09-06
318,110,2851,2007-03-31,2007-03-31
319,110,1085,2000-09-11,2000-09-11
320,110,3123,1992-05-01,1992-05-01
321,111,302,1988-08-05,1988-08-05
322,111,4455,2014-05-03,2014-05-03
323,112,4528,1997-08-26,1997-08-26
324,112,2985,1975-04-27,1975-04-27
325,112,1016,1985-03-16,1985-03-16
326,113,1398,1992-03-03,1992-03-03
327,113,2364,1980-04-03,1980-04-03
328,113,369,1996-08-05,1996-08-05
329,114,3628,2001-12-31,2001-12-31
330,114,1810,1982-07-14,1982-07-14
331,114,227,1988-05-18,1988-05-18
332,114,613,1972-07-11,1972-07-11
333,114,2427,1970-07-18,1970-07-18
334,115,1064,2007-10-10,2007-10-10
335,115,3865,1979-02-19,1979-02-19
336,115,1607,1973-11-15,1973-11-15
337,115,2442,2018-07-23,2018-07-23
338,115,2301,1994-10-18,1994-10-18
339,116,2264,1990-05-09,1990-05-09
340,116,4671,1979-02-02,1979-02-02
341,116,684,2020-04-27,2020-04-27
342,116,1369,2000-05-18,2000-05-18
343,116,2238,2017-06-17,2017-06-17
344,117,2657,2012-02-29,2012-02-29
345,117,2071,2007-01-03,2007-01-03
346,118,4940,1986-09-08,1986-09-08
347,118,2458,1993-05-29,1993-05-29
348,118,2558,1971-02-25,1971-02-25
349,118,3439,1975-03-06,1975-03-06
350,119,2517,1975-01-30,1975-01-30
351,119,933,1978-02-13,1978-02-13
352,119,961,2010-11-24,2010-11-24
353,120,1302,1970-08-01,1970-08-01
354,120,623,1995-12-21,1995-12-21
355,121,3135,2004-01-08,2004-01-08
356,121,795,1992-08-08,1992-08-08
357,121,4869,2016-12-03,2016-12-03
358,122,220,1977-11-25,1977-11-25
359,122,1980,2006-05-24,2006-05-24
360,122,851,1972-10-31,1972-10-31
361,122,1117,1993-11-20,1993-11-20
362,123,2852,2015-03-03,2015-03-03
363,123,587,1996-06-10,1996-06-10
364,124,1506,1981-03-09,1981-03-09
365,124,3435,1980-09-07,1980-09-07
366,124,2571,1986-11-24,1986-11-24
367,124,2021,2013-05-11,2013-05-11
368,124,2301,1978-11-18,1978-11-18
369,125,4036,2017-05-25,2017-05-25
370,126,2398,1981-06-06,1981-06-06
371,126,3220,2019-12-01,2019-12-01
372,126,143,1983-03-15,1983-03-15
373,126,2027,1975-05-03,1975-05-03
374,126,574,1978-05-15,1978-05-15
375,127,2909,1991-05-09,1991-05-09
376,127,289,1972-11-12,1972-11-12
377,128,1221,1999-09-11,1999-09-11
378,129,1153,2020-12-21,2020-12-21
379,129,950,1983-07-18,1983-07-18
380,129,2615,2017-02-02,2017-02-02
381,129,2114,2013-02-10,2013-02-10
382,130,3594,1998-09-12,1998-09-12
383,130,1681,2012-01-09,2012-01-09
384,131,4125,2004-03-10,2004-03-10
385,131,886,1977-10-30,1977-10-30
386,132,3597,1976-04-16,1976-04-16
387,132,2967,2000-12-14,2000-12-14
388,132,2255,1980-10-18,1980-10-18
389,132,4575,1980-09-04,1980-09-04
390,133,1297,2013-11-03,2013-11-03
391,133,4288,2017-12-16,2017-12-16
392,134,1650,2009-07-09,2009-07-09
393,134,463,1984-04-22,1984-04-22
394,134,4398,1988-05-05,1988-05-05
395,134,4071,1989-10-15,1989-10-15
396,134,1212,1993-08-10,1993-08-10
397,135,888,2019-02-17,2019-02-17
398,135,3923,1999-12-27,1999-12-27
399,136,1130,2020-08-24,2020-08-24
400,136,4320,2006-09-30,2006-09-30
401,136,1492,2010-12-30,2010-12-30
402,137,2251,2008-10-07,2008-10-07
403,137,3012,1994-06-07,1994-06-07
404,138,4985,2009-03-24,2009-03-24
405,139,4511,2005-01-16,2005-01-16
406,139,4441,2009-11-15,2009-11-15
407,139,4982,1972-07-03,1972-07-03
408,139,475,2015-07-29,2015-07-29
409,140,764,1993-07-02,1993-07-02
410,140,2607,1987-09-22,1987-09-22
411,140,763,2008-11-07,2008-11-07
412,140,2158,1971-03-16,1971-03-16
413,140,4598,2008-02-28,2008-02-28
414,141,2034,1998-01-09,1998-01-09
415,141,4863,1991-11-03,1991-11-03
416,141,1380,2017-12-18,2017-12-18
417,142,2207,1994-01-17,1994-01-17
418,143,729,1978-03-07,1978-03-07
419,143,3030,1970-05-30,1970-05-30
420,143,199,1970-09-13,1970-09-13
421,143,3292,1980-04-08,1980-04-08
422,143,1240,2005-06-22,2005-06-22
423,144,1214,2012-04-04,2012-04-04
424,144,4273,2006-01-31,2006-01-31
425,144,1908,1978-08-11,1978-08-11
426,144,1535,2003-11-15,2003-11-15
427,144,1362,1971-02-20,1971-02-20
428,145,1245,1992-06-19,1992-06-19
429,145,3255,2016-01-16,2016-01-16
430,145,641,1985-11-17,1985-11-17
431,145,2604,1971-12-27,1971-12-27
432,146,3965,1981-02-06,1981-02-06
433,146,1621,1981-06-13,1981-06-13
434,147,670,2015-04-29,2015-04-29
435,147,1869,2000-12-05,2000-12-05
436,147,1086,2007-02-05,2007-02-05
437,147,4945,1992-07-21,1992-07-21
438,148,2114,2008-10-11,2008-10-11
439,148,1324,1998-05-20,1998-05-20
440,148,1396,1988-10-13,1988-10-13
441,148,1583,1977-07-30,1977-07-30
442,148,2748,1976-07-31,1976-07-31
443,149,1033,1974-10-15,1974-10-15
444,149,3893,1985-01-09,1985-01-09
445,149,98,2003-01-04,2003-01-04
446,150,1263,2018-03-31,2018-03-31
447,150,4484,1993-12-29,1993-12-29
448,150,957,1982-02-14,1982-02-14
449,150,546,1993-05-20,1993-05-20
450,150,558,1998-10-26,1998-10-26
451,151,1069,1979-02-19,1979-02-19
452,152,1326,1972-12-28,1972-12-28
453,152,3569,1985-02-28,1985-02-28
454,152,3633,1970-12-11,1970-12-11
455,153,2342,1983-06-12,1983-06-12
456,153,3004,1976-11-15,1976-11-15
457,153,1176,1990-05-15,1990-05-15
458,153,311,2006-09-18,2006-09-18
459,154,4979,1986-11-23,1986-11-23
460,154,1649,1998-04-04,1998-04-04
461,155,3381,2003-08-12,2003-08-12
462,155,707,1986-10-07,1986-10-07
463,156,4560,1979-10-20,1979-10-20
464,157,3495,1993-01-10,1993-01-10
465,157,3958,2006-05-01,2006-05-01
466,157,3675,1994-02-06,1994-02-06
467,157,1147,1996-02-20,1996-02-20
468,158,75,1982-02-09,1982-02-09
469,158,2191,1970-08-28,1970-08-28
470,158,508,2006-08-01,2006-08-01
471,159,1041,2008-01-05,2008-01-05
472,159,2463,1985-05-13,1985-05-13
473,160,4890,1986-02-03,1986-02-03
474,160,1584,1978-06-04,1978-06-04
475,160,1180,1985-01-15,1985-01-15
476,161,1658,1998-03-21,1998-03-21
477,161,2241,1980-06-12,1980-06-12
478,161,3687,2006-12-22,2006-12-22
479,161,1830,1996-07-14,1996-07-14
480,162,24,1994-12-17,1994-12-17
481,162,2630,2007-07-21,2007-07-21
482,162,730,2015-09-09,2015-09-09
483,162,145,2006-07-08,2006-07-08
484,163,3997,1983-09-26,1983-09-26
485,163,1406,1979-09-27,1979-09-27
486,163,2028,2010-05-28,2010-05-28
487,163,2268,1981-03-03,1981-03-03
488,164,1736,2005-04-29,2005-04-29
489,164,547,1985-02-06,1985-02-06
490,164,1064,2016-12-18,2016-12-18
491,164,4999,1993-02-26,1993-02-26
492,164,1808,2000-02-07,2000-02-07
493,165,463,2014-02-09,2014-02-09
494,165,2226,1990-06-22,1990-06-22
495,165,3228,2015-03-02,2015-03-02
496,166,473,1982-10-31,1982-10-31
497,166,2109,1983-09-09,1983-09-09
498,166,3736,2013-06-08,2013-06-08
499,166,357,1997-09-06,1997-09-06
500,167,3754,1970-03-04,1970-03-04
501,167,4415,1970-05-29,1970-05-29
502,167,1673,2002-01-10,2002-01-10
503,167,6,1979-04-08,1979-04-08
504,168,240,2010-06-29,2010-06-29
505,168,3623,1984-01-17,1984-01-17
506,168,1037,1970-10-18,1970-10-18
507,168,2901,1982-04-26,1982-04-26
508,169,667,1984-02-11,1984-02-11
509,170,4294,2018-04-23,2018-04-23
510,170,660,1990-10-12,1990-10-12
511,170,3184,2020-11-11,2020-11-11
512,170,209,1971-01-08,1971-01-08
513,170,2779,2015-01-26,2015-01-26
514,171,1087,1997-04-30,1997-04-30
515,171,4458,1991-02-15,1991-02-15
516,171,3,2001-10-03,2001-10-03
517,171,2907,1987-07-12,1987-07-12
518,172,4718,2002-08-13,2002-08-13
519,172,1587,1981-01-19,1981-01-19
520,172,3605,1994-03-28,1994-03-28
521,172,4448,1976-04-29,1976-04-29
522,173,2535,1995-10-14,1995-10-14
523,174,2401,1992-09-30,1992-09-30
524,174,4341,1972-10-31,1972-10-31
525,174,1904,1992-10-22,1992-10-22
526,174,4042,1987-09-24,1987-09-24
527,174,2171,1986-07-03,1986-07-03
528,175,2947,1995-11-06,1995-11-06
529,175,4690,1971-03-19,1971-03-19
530,175,3124,1979-10-28,1979-10-28
531,175,857,2011-02-13,2011-02-13
532,175,3103,2013-08-11,2013-08-11
533,176,117,1988-05-05,1988-05-05
534,176,3393,1994-07-05,1994-07-05
535,177,1164,1972-06-18,1972-06-18
536,177,2819,1979-03-01,1979-03-01
537,177,3645,1980-10-31,1980-10-31
538,178,3995,1989-06-11,1989-06-11
539,178,4307,1987-01-07,1987-01-07
540,178,687,1973-01-22,1973-01-22
541,178,138,1992-08-22,1992-08-22
542,179,398,2005-10-02,2005-10-02
543,180,4017,1995-06-01,1995-06-01
544,181,141,2003-02-11,2003-02-11
545,182,2382,1970-10-27,1970-10-27
546,182,4104,1999-08-25,1999-08-25
547,182,3912,2005-12-16,2005-12-16
548,183,1254,2011-10-10,2011-10-10
549,183,2054,2008-01-20,2008-01-20
550,183,589,1995-11-12,1995-11-12
551,183,4280,2015-03-23,2015-03-23
552,184,4465,1995-05-08,1995-05-08
553,184,1157,2002-06-03,2002-06-03
554,184,3581,1990-06-10,1990-06-10
555,185,436,1987-06-07,1987-06-07
556,186,94,1980-08-30,1980-08-30
557,186,746,2021-02-09,2021-02-09
558,186,879,1972-12-21,1972-12-21
559,187,1851,1988-03-17,1988-03-17
560,187,3344,1975-09-09,1975-09-09
561,187,3944,1984-09-10,1984-09-10
562,188,2644,2005-08-21,2005-08-21
563,189,1664,1992-07-12,1992-07-12
564,189,2967,2007-08-01,2007-08-01
565,189,1051,2007-06-21,2007-06-21
566,189,207,1990-02-04,1990-02-04
567,189,1301,1973-04-25,1973-04-25
568,190,4223,1975-04-17,1975-04-17
569,190,2237,1990-10-15,1990-10-15
570,190,4247,1989-09-11,1989-09-11
571,191,2299,2013-08-08,2013-08-08
572,191,4741,1983-03-02,1983-03-02
573,191,1507,1976-07-05,1976-07-05
574,192,2131,2000-04-10,2000-04-10
575,192,1754,1972-06-26,1972-06-26
576,192,223,2015-05-06,2015-05-06
577,193,4069,1990-07-31,1990-07-31
578,193,1969,2018-01-24,2018-01-24
579,193,1925,2016-11-29,2016-11-29
580,193,2850,1978-02-26,1978-02-26
581,194,3983,1984-07-09,1984-07-09
582,194,4378,2020-07-20,2020-07-20
583,194,2300,1986-01-30,1986-01-30
584,194,1061,2009-10-23,2009-10-23
585,194,2186,1972-09-03,1972-09-03
586,195,2891,2004-06-04,2004-06-04
587,195,76,2007-01-29,2007-01-29
588,196,1391,1999-11-01,1999-11-01
589,197,747,1973-12-12,1973-12-12
590,197,1888,2004-09-17,2004-09-17
591,198,2437,2018-08-05,2018-08-05
592,199,4523,2002-10-11,2002-10-11
593,199,2149,2017-10-21,2017-10-21
594,199,2139,1976-05-19,1976-05-19
595,199,4201,2019-10-04,2019-10-04
596,200,1770,1992-11-28,1992-11-28
597,200,2909,1973-01-18,1973-01-18
598,200,3067,1999-04-17,1999-04-17
599,200,2703,1990-09-16,1990-09-16
600,200,3026,2012-10-28,2012-10-28
601,201,860,1988-05-24,1988-05-24
602,201,808,1978-09-03,1978-09-03
603,201,3501,1972-04-18,1972-04-18
604,202,4878,1981-05-27,1981-05-27
605,202,2609,1973-09-14,1973-09-14
606,203,4704,1995-12-08,1995-12-08
607,204,4167,1981-06-25,1981-06-25
608,204,4305,2021-01-14,2021-01-14
609,204,4287,1988-07-11,1988-07-11
610,204,3238,1974-04-11,1974-04-11
611,205,4720,2016-07-30,2016-07-30
612,206,1422,2020-11-04,2020-11-04
613,206,2524,1988-03-12,1988-03-12
614,207,3216,2019-06-07,2019-06-07
615,207,4297,1979-04-07,1979-04-07
616,207,421,2016-09-17,2016-09-17
617,207,4847,2006-09-02,2006-09-02
618,208,946,1970-11-24,1970-11-24
619,208,3669,1984-10-05,1984-10-05
620,208,4326,1990-09-22,1990-09-22
621,209,3296,1993-05-02,1993-05-02
622,209,4167,2005-02-28,2005-02-28
623,209,435,2020-06-12,2020-06-12
624,209,446,1973-02-26,1973-02-26
625,210,2278,1986-07-15,1986-07-15
626,211,2191,1998-02-19,1998-02-19
627,212,4002,1994-09-07,1994-09-07
628,212,540,2020-02-16,2020-02-16
629,213,2521,2015-09-16,2015-09-16
630,213,137,2013-06-18,2013-06-18
631,214,294,2006-03-15,2006-03-15
632,214,2156,1980-11-08,1980-11-08
633,215,4290,2016-09-28,2016-09-28
634,215,3402,2013-12-30,2013-12-30
635,215,1010,1974-07-20,1974-07-20
636,216,3727,2018-01-28,2018-01-28
637,217,1407,1983-10-05,1983-10-05
638,217,664,2001-09-02,2001-09-02
639,217,3141,2007-01-17,2007-01-17
640,217,2260,1993-01-22,1993-01-22
641,218,4795,1985-08-31,1985-08-31
642,218,4921,2014-08-20,2014-08-20
643,218,937,2005-01-20,2005-01-20
644,219,3913,2000-07-10,2000-07-10
645,219,3296,1975-03-14,1975-03-14
646,220,4627,2000-04-30,2000-04-30
647,220,2873,1979-05-30,1979-05-30
648,221,4630,1980-12-11,1980-12-11
649,221,538,1988-05-16,1988-05-16
650,221,472,1990-02-03,1990-02-03
651,221,4907,2010-03-17,2010-03-17
652,221,3755,1999-04-20,1999-04-20
653,222,2900,1971-06-16,1971-06-16
654,222,3497,1990-09-28,1990-09-28
655,222,3434,1977-08-25,1977-08-25
656,223,1387,2003-03-10,2003-03-10
657,223,1860,2014-09-11,2014-09-11
658,223,3822,1985-02-22,1985-02-22
659,224,4218,1992-11-20,1992-11-20
660,224,1252,1995-10-18,1995-10-18
661,224,1254,1983-03-30,1983-03-30
662,225,2136,1972-07-27,1972-07-27
663,226,1252,1985-12-15,1985-12-15
664,226,2359,1978-03-09,1978-03-09
665,226,978,2013-12-23,2013-12-23
666,226,3168,2010-01-21,2010-01-21
667,226,2035,1989-03-12,1989-03-12
668,227,1884,1999-05-20,1999-05-20
669,227,3525,1995-05-15,1995-05-15
670,227,2389,1972-03-09,1972-03-09
671,228,1012,2006-10-27,2006-10-27
